Restaurant_Name,Web_Link,Locality,Ratings_out_of_5,Cuisines,Charges_for_two,alcohol,dance,veg,pet,music,valet,buffet,vegan,rooftop,sugarfree,takeawayonly
Fit Food Company,https://www.zomato.com/pune/fit-food-company-nibm-road,NIBM Road,3.7,"Salad, Continental, Beverages",500,0,0,0,0,0,0,0,0,0,0,0
Calcutta Foods Express,https://www.zomato.com/pune/calcutta-foods-express-pimple-saudagar,Pimple Saudagar,2.8,"Bengali, Fast Food",200,0,0,0,0,0,0,0,0,0,0,0
Hotdog Burgers,https://www.zomato.com/pune/hotdog-burgers-wakad,Wakad,0,Fast Food,400,0,0,0,0,0,0,0,0,0,0,0
Yummmm Raj,https://www.zomato.com/pune/yummmm-raj-hadapsar,Hadapsar,2.9,"South Indian, Fast Food",200,0,0,0,0,0,0,0,0,0,0,0
Shaan-E-Punjaab,https://www.zomato.com/pune/shaan-e-punjaab-kharadi,Kharadi,3.2,"North Indian, Italian, Chinese",900,0,0,0,0,0,0,0,0,0,0,0
The KK's Foods Hotel College Catta,https://www.zomato.com/pune/the-kks-foods-hotel-college-catta-balewadi,Balewadi,0,"North Indian, South Indian, Fast Food",200,0,0,0,0,0,0,0,0,0,0,0
Ranna Ghor,https://www.zomato.com/pune/ranna-ghor-pashan,Pashan,3.8,"Bengali, Chinese, North Indian",200,0,0,0,0,0,0,0,0,0,0,0
Britto's Foodies Corner,https://www.zomato.com/pune/brittos-foodies-corner-salunkhe-vihar-road,Salunkhe Vihar Road,3.3,"North Indian, Chinese, Mughlai",400,0,0,0,0,0,0,0,0,0,0,0
Ricefinity,https://www.zomato.com/pune/ricefinity-narhe,Narhe,3.6,"Biryani, Chinese",,0,0,0,0,0,0,0,0,0,0,0
Dark Kitchen,https://www.zomato.com/pune/dark-kitchen-model-colony,Model Colony,0,"North Indian, Fast Food",700,0,0,0,0,0,0,0,0,0,0,0
Bits N Bites,https://www.zomato.com/pune/bits-n-bites-erandwane,Erandwane,0,Fast Food,300,0,0,1,0,0,0,0,0,0,0,0
Zaytun Restaurant & Cafe,https://www.zomato.com/pune/zaytun-restaurant-cafe-1-kondhwa,Kondhwa,3.2,"North Indian, Chinese, Arabian",550,0,0,0,0,0,0,0,0,0,0,0
Le Chaat,https://www.zomato.com/pune/le-chaat-1-baner,Baner,3.6,Street Food,150,0,0,0,0,0,0,0,0,0,0,0
P - Square by Sanghavi's Kitchen,https://www.zomato.com/pune/p-square-by-sanghavis-kitchen-ravet,Ravet,3.1,"Fast Food, North Indian, South Indian, Pizza",400,0,0,1,0,0,0,0,0,0,0,0
Chinese Hut,https://www.zomato.com/pune/chinese-hut-swargate,Swargate,0,Chinese,500,0,0,1,0,0,0,0,0,0,0,0
Hotel Jagdamb,https://www.zomato.com/pune/hotel-jagdamb-kothrud,Kothrud,0,Maharashtrian,200,0,0,0,0,0,0,0,0,0,0,0
Maharaja Misal House,https://www.zomato.com/pune/maharaja-misal-house-2-hadapsar,Hadapsar,0,Street Food,200,0,0,1,0,0,0,0,0,0,0,0
Bits n Bites,https://www.zomato.com/pune/bits-n-bites-nigdi,Nigdi,3.1,"Fast Food, Beverages",250,0,0,0,0,0,0,0,0,0,0,0
Hotel Tambda-Pandhra,https://www.zomato.com/pune/hotel-tambda-pandhra-1-old-mumbai-pune-highway,Old Mumbai-Pune Highway,0,North Indian,400,0,0,0,0,0,0,0,0,0,0,0
Toasty Rosty,https://www.zomato.com/pune/toasty-rosty-sadashiv-peth,Sadashiv Peth,3,Fast Food,500,0,0,1,0,0,0,0,0,0,0,0
K2H Meals,https://www.zomato.com/pune/k2h-meals-sinhgad-road,Sinhgad Road,3.5,"Maharashtrian, Street Food",250,0,0,1,0,0,0,0,0,0,0,0
Maurya Family Resto & Bar,https://www.zomato.com/pune/maurya-family-resto-bar-chinchwad,Chinchwad,0,"North Indian, Chinese",900,0,0,0,0,0,0,0,0,0,0,0
New Shegaon Kachori Centre,https://www.zomato.com/pune/new-shegaon-kachori-centre-kothrud,Kothrud,3.3,Street Food,100,0,0,0,0,0,0,0,0,0,0,0
Gokul Pure Veg,https://www.zomato.com/pune/gokul-pure-veg-1-kothrud,Kothrud,2.8,"North Indian, Chinese, South Indian, Fast Food",500,0,0,1,0,0,0,0,0,0,0,0
FitFood,https://www.zomato.com/pune/fitfood-kharadi,Kharadi,3.5,Healthy Food,,0,0,0,0,0,0,0,0,0,0,0
Mithai Magic,https://www.zomato.com/pune/mithai-magic-magarpatta,Magarpatta,3,Mithai,300,0,0,1,0,0,0,0,0,0,0,1
MeraMealBox,https://www.zomato.com/pune/meramealbox-baner,Baner,3.9,North Indian,,0,0,1,0,0,0,0,0,0,0,0
Lazzat Biryani,https://www.zomato.com/pune/lazzat-biryani-kothrud,Kothrud,0,"Biryani, North Indian",,0,0,0,0,0,0,0,0,0,0,1
Tandoor Factory,https://www.zomato.com/pune/tandoor-factory-magarpatta,Magarpatta,3.5,Mughlai,500,0,0,0,0,0,0,0,0,0,0,0
AL Rayan Restaurant,https://www.zomato.com/pune/al-rayan-restaurant-kharadi,Kharadi,3.7,"Kerala, North Indian, Chinese, Mughlai",500,0,0,0,0,0,0,0,0,0,0,0
Vaishnu Hotel,https://www.zomato.com/pune/vaishnu-hotel-pimple-saudagar,Pimple Saudagar,3.5,"North Indian, Chinese",400,0,0,0,0,0,0,0,0,0,0,0
Hotel Farmaish,https://www.zomato.com/pune/hotel-farmaish-bhosari,Bhosari,3.1,"North Indian, Chinese, Malwani",800,0,0,0,0,0,0,0,0,0,0,0
Dream Knight,https://www.zomato.com/pune/dream-knight-hadapsar,Hadapsar,3.4,"North Indian, Chinese",1600,0,0,0,0,1,0,0,0,0,0,0
Kisa Veg Corner,https://www.zomato.com/pune/kisa-veg-corner-hadapsar,Hadapsar,3.3,South Indian,200,0,0,1,0,0,0,0,0,0,0,0
Aunty's Paratha House,https://www.zomato.com/pune/auntys-paratha-house-vishrantwadi,Vishrantwadi,3.4,North Indian,200,0,0,1,0,0,0,0,0,0,0,0
Green Soul Kitchens,https://www.zomato.com/green-soul-kitchens,Karve Nagar,2.9,North Indian,,0,0,0,0,0,0,0,0,0,0,0
Shree Abhishek,https://www.zomato.com/pune/shree-abhishek-sinhgad-road,Sinhgad Road,2.5,"Chinese, North Indian, South Indian",600,0,0,1,0,0,0,0,0,0,0,0
Authentic Food Corner,https://www.zomato.com/pune/authentic-food-corner-sinhgad-road,Sinhgad Road,0,Fast Food,250,0,0,1,0,0,0,0,0,0,0,0
Grandma's Kitchen,https://www.zomato.com/pune/grandmas-kitchen-kothrud,Kothrud,3.2,"Street Food, Fast Food",,0,0,0,0,0,0,0,0,0,0,0
Kabab King,https://www.zomato.com/pune/kabab-king-ravet,Ravet,3.1,"Biryani, Italian, Chinese, Mughlai, Seafood, Beverages, Desserts",600,0,0,0,0,0,0,0,0,0,0,0
Day Lite Bite,https://www.zomato.com/pune/day-lite-bite-sinhgad-road,Sinhgad Road,3.5,"Fast Food, Chinese, Beverages",400,0,0,0,0,0,0,0,0,0,0,0
Sweet Crumbs,https://www.zomato.com/pune/sweet-crumbs-viman-nagar,Viman Nagar,3.5,"Desserts, Bakery",500,0,0,0,0,0,0,0,0,0,0,1
Good luck Chinese,https://www.zomato.com/pune/good-luck-chinese-kharadi,Kharadi,0,Chinese,350,0,0,0,0,0,0,0,0,0,0,0
Biryani Darbar,https://www.zomato.com/pune/biryani-darbar-senapati-bapat-road,Senapati Bapat Road,3,"North Indian, Biryani, Fast Food, Chinese",400,0,0,0,0,0,0,0,0,0,0,0
Hotel Purnbramha Pure Veg,https://www.zomato.com/pune/hotel-purnbramha-pure-veg-pune-solapur-road,Pune-Solapur Road,0,"South Indian, North Indian, Maharashtrian",400,0,0,1,0,0,0,0,0,0,0,0
The Pune Bistro,https://www.zomato.com/pune/the-pune-bistro-kothrud,Kothrud,3.5,Fast Food,400,0,0,0,0,0,0,0,0,0,0,0
Bite A Slice,https://www.zomato.com/pune/bite-a-slice-wanowrie,Wanowrie,0,"Fast Food, Beverages",400,0,0,0,0,0,0,0,0,0,0,0
Cafe House Chat Corner,https://www.zomato.com/pune/cafe-house-chat-corner-erandwane,Erandwane,3.3,"Fast Food, Street Food",150,0,0,1,0,0,0,0,0,0,0,0
