,user_id,index,loc,sponsor,votes,rating,charge,cuisine,alcohol,veg,vegan,sugarfree,buff
15380,5,961,Kalyani Nagar,Takeaway,20,3.5,0,Chinese,0,0,0,0,0
8501,5,3288,Shukrawar Peth,Quick Bites,67,3.7,500,"Biryani, Mughlai",0,0,0,0,0
15141,5,6063,Erandwane,Delivery,68,3.4,0,Fast Food,0,0,0,0,0
3789,5,9339,Camp Area,Dessert Parlor,8,2.8,200,"Desserts, Ice Cream",0,1,0,0,0
5390,5,6487,Katraj,Casual Dining,23,3.5,400,"South Indian, Chinese, North Indian",0,1,0,0,0
12620,5,8974,Wakad,Casual Dining,0,0.0,400,"North Indian, Chinese",0,0,0,0,0
13941,5,816,Katraj,Café,70,3.6,400,"Italian, Fast Food",0,0,0,0,0
489,5,6326,Baner,Delivery,673,3.9,0,"Modern Indian, North Indian, Salad, Continental, Asian",0,0,0,0,0
8367,5,5249,Model Colony,Café,93,2.6,500,"Cafe, Italian, Fast Food",0,0,0,0,0
14057,5,12052,Lohegaon,Delivery,0,0.0,0,South Indian,0,0,0,0,0
15663,5,4680,Senapati Bapat Road,Casual Dining,14,3.3,300,"Biryani, Mughlai",0,0,0,0,0
4593,5,7838,Sinhgad Road,Quick Bites,0,0.0,200,"North Indian, Maharashtrian",0,0,0,0,0
19495,5,563,Viman Nagar,"Casual Dining, Bar",1225,4.2,900,"Asian, North Indian, Chinese, Mughlai, Seafood",0,0,0,0,0
5413,5,11421,Shivapur,Casual Dining,0,0.0,400,"Chinese, North Indian",0,0,0,0,0
17014,5,10715,Viman Nagar,Quick Bites,0,0.0,300,"Rolls, Biryani",0,0,0,0,0
4577,5,5735,Aundh,Takeaway,0,0.0,0,Maharashtrian,0,0,0,0,0
1333,5,7361,Dhankawadi,Quick Bites,4,3.0,300,"Mughlai, Chinese, North Indian",0,0,0,0,0
11685,5,5770,Pimple Gurav,Sweet Shop,5,3.1,150,Mithai,0,0,0,0,0
10533,5,9826,Narhe,"Takeaway, Delivery",0,0.0,0,"Fast Food, Maharashtrian, North Indian",0,1,0,0,0
4362,5,6757,Shivaji Nagar,Quick Bites,0,0.0,200,"Healthy Food, North Indian",0,0,0,0,0
3522,5,820,Wakad,Quick Bites,40,3.6,400,"North Indian, Fast Food, Beverages",0,0,0,0,0
7507,5,7019,Viman Nagar,Delivery,0,0.0,0,Momos,0,0,0,0,0
6826,5,6192,Sadashiv Peth,Quick Bites,8,3.1,200,"North Indian, South Indian",0,1,0,0,0
8432,5,9566,Tilak Road,Quick Bites,19,3.2,250,Fast Food,0,1,0,0,0
7538,5,5909,Magarpatta,Quick Bites,0,0.0,350,Chinese,0,0,0,0,0
16513,5,10479,Hadapsar,Quick Bites,0,0.0,500,"Maharashtrian, South Indian",0,0,0,0,0
18175,5,3801,Wakad,"Sweet Shop, Quick Bites",116,3.9,200,"Mithai, Street Food",0,1,0,0,0
4048,5,9642,Hinjawadi,"Casual Dining, Bar",0,0.0,800,"North Indian, Chinese, Continental, Bar Food, Beverages",0,0,0,0,0
14234,5,6378,Katraj,Casual Dining,5,3.0,500,"North Indian, Chinese",0,0,0,0,0
15221,5,3113,Dhankawadi,Quick Bites,0,0.0,350,Chinese,0,0,0,0,0
2519,5,4926,Wakad,Quick Bites,34,3.5,400,"Maharashtrian, North Indian",0,0,0,0,0
13582,5,2298,Ravet,Quick Bites,14,3.3,500,"Maharashtrian, North Indian, Mughlai",0,0,0,0,0
12682,5,10615,Wakad,Delivery,0,0.0,0,Chinese,0,0,0,0,0
4344,5,11511,Hadapsar,Delivery,0,0.0,0,"Rolls, Fast Food, Beverages",0,0,0,0,0
13399,5,11432,Fatima Nagar,Delivery,0,0.0,0,Mithai,0,0,0,0,0
2540,5,8562,Hinjawadi,Quick Bites,10,3.2,300,Maharashtrian,0,0,0,0,0
9358,5,3450,Hinjawadi,Casual Dining,73,3.8,500,"Rajasthani, Gujarati",0,0,0,0,0
4324,5,9066,Sinhgad Road,"Takeaway, Delivery",4,3.0,0,"South Indian, Maharashtrian, Street Food",0,0,0,0,0
18444,5,5992,"Magarpatta, Pune Sholapur Rd",Delivery,0,0.0,0,"Biryani, North Indian",0,0,0,0,0
18597,5,5888,Katraj,Café,11,3.2,150,"Cafe, Fast Food",0,1,0,0,0
19271,5,8460,Pimpri,Quick Bites,19,3.4,250,South Indian,0,1,0,0,0
1081,5,7315,Bavdhan,Sweet Shop,0,0.0,200,Mithai,0,0,0,0,0
8022,5,550,Viman Nagar,Casual Dining,54,3.9,1500,"North Indian, South Indian",0,0,0,0,0
6209,5,10829,Budhwar Peth,Quick Bites,0,0.0,150,"Fast Food, Street Food",0,0,0,0,0
3039,5,870,Chinchwad,Casual Dining,256,3.9,500,"Maharashtrian, Fast Food, South Indian, North Indian",0,1,0,0,0
6075,5,8222,Katraj,Quick Bites,0,0.0,300,Chinese,0,0,0,0,0
10547,5,8360,Kharadi,Quick Bites,7,3.1,350,"Burger, Fast Food",0,0,0,0,0
10360,5,10633,Lohegaon,Quick Bites,0,0.0,250,"Malwani, Seafood",0,0,0,0,0
5867,5,7503,Baner,Quick Bites,0,0.0,200,Lebanese,0,0,0,0,0
15799,5,11070,Lohegaon,Quick Bites,9,3.0,300,"Fast Food, Beverages",0,1,0,0,0
14803,5,10625,Dhankawadi,Kiosk,0,0.0,100,Fast Food,0,0,0,0,0
5887,5,4144,Ravet,Quick Bites,7,3.1,250,"North Indian, Street Food",0,0,0,0,0
17188,5,6270,Balewadi,Casual Dining,51,2.8,650,"North Indian, Chinese",0,0,0,0,0
6300,5,2384,Hadapsar,Casual Dining,236,3.9,300,North Indian,0,1,0,0,0
14583,5,10360,Dhankawadi,Quick Bites,0,0.0,400,North Indian,0,0,0,0,0
17172,5,3639,Wagholi,"Beverage Shop, Quick Bites",0,0.0,150,"Beverages, Street Food",0,0,0,0,0
15863,5,5847,Sus,Quick Bites,23,3.6,500,"North Indian, Chinese, Fast Food",0,0,0,0,0
9023,5,4072,Pimple Gurav,Casual Dining,12,3.1,500,"North Indian, Chinese, South Indian",0,1,0,0,0
13147,5,9289,Bund Garden Road,Casual Dining,13,2.9,400,"North Indian, South Indian, Chinese, Biryani",0,1,0,0,0
15948,5,801,Bibvewadi,Casual Dining,444,3.6,800,"Chinese, North Indian, South Indian, Fast Food, Beverages",0,1,0,0,0
1062,5,4897,Karve Nagar,Café,0,0.0,500,Cafe,0,1,0,0,0
3019,5,11616,Lavale,Casual Dining,0,0.0,800,North Indian,0,1,0,0,0
728,5,10659,Kharadi,Quick Bites,5,3.1,300,Chinese,0,0,0,0,0
7905,5,6339,Hadapsar,Quick Bites,21,3.4,200,Fast Food,0,0,0,0,0
8048,5,4535,Karve Nagar,Quick Bites,8,3.1,400,North Indian,0,0,0,0,0
5787,5,7872,Chinchwad,Quick Bites,0,0.0,150,South Indian,0,1,0,0,0
11892,5,8983,Hadapsar,Casual Dining,4,2.9,500,"North Indian, Maharashtrian",0,0,0,0,0
3031,5,5413,Wadgaon Sheri,Delivery,62,2.9,0,Biryani,0,0,0,0,0
5789,5,5515,FC Road,Quick Bites,18,3.5,200,Fast Food,0,1,0,0,0
12788,5,8463,Nigdi,Quick Bites,13,3.4,400,Fast Food,0,0,0,0,0
5768,5,5301,Mundhwa,"Casual Dining, Bar",57,3.3,1200,"North Indian, Chinese, Continental",0,0,0,0,0
2832,5,1377,Karve Nagar,Quick Bites,317,3.6,400,"Wraps, North Indian, Kebab",0,0,0,0,0
13142,5,3745,Bibvewadi,Café,25,3.5,200,"Cafe, Fast Food",0,0,0,0,0
14608,5,5544,Viman Nagar,Delivery,0,0.0,0,"Bengali, Seafood",0,0,0,0,0
10578,5,8162,Bibvewadi,Café,4,3.1,400,"Cafe, Fast Food",0,0,0,0,0
6321,5,10216,Sinhgad Road,Quick Bites,0,0.0,300,Maharashtrian,0,0,0,0,0
12256,5,1635,Hadapsar,Casual Dining,83,3.9,800,"American, North Indian, Continental",0,0,0,0,0
16875,5,3190,Aundh,Casual Dining,155,2.7,600,"North Indian, South Indian, Chinese, Fast Food",0,1,0,0,0
6003,5,9813,Swargate,Quick Bites,0,0.0,350,"Fast Food, Street Food, Beverages",0,0,0,0,0
7964,5,10826,Vishrantwadi,Quick Bites,5,2.9,300,Chinese,0,0,0,0,0
16406,5,3149,Shaniwar Peth,Quick Bites,139,4.0,200,"Maharashtrian, South Indian",0,1,0,0,0
14683,5,6980,Hadapsar,Casual Dining,0,0.0,1100,"North Indian, Mughlai, Beverages",0,0,0,0,0
18629,5,4947,Hinjawadi,Quick Bites,11,3.3,400,"North Indian, Maharashtrian",0,1,0,0,0
9130,5,522,Wadgaon Sheri,Quick Bites,0,0.0,400,"Rolls, Fast Food, Beverages",0,0,0,0,0
6377,5,7444,Kharadi,"Takeaway, Delivery",0,0.0,0,"Fast Food, Desserts",0,0,0,0,0
14409,5,3813,Pimpri,Quick Bites,32,3.5,400,Maharashtrian,0,0,0,0,0
6265,5,708,Karve Nagar,Delivery,0,0.0,0,"North Indian, Chinese, Fast Food",0,0,0,0,0
12762,5,11048,Chinchwad,"Takeaway, Delivery",0,0.0,0,Fast Food,0,0,0,0,0
9041,5,12033,Wakad,"Takeaway, Delivery",165,3.7,0,North Indian,0,0,0,0,0
16557,5,5645,Sadashiv Peth,Delivery,15,3.4,0,Fast Food,0,0,0,0,0
18606,5,5285,Katraj,Quick Bites,75,3.7,300,"Fast Food, Sandwich",0,0,0,0,0
