Restaurant_Name,Web_Link,Locality,Ratings_out_of_5,Cuisines,Charges_for_two
Jagaat Bhaari Kolhapuri,https://www.zomato.com/pune/jagaat-bhaari-kolhapuri-satara-road,Satara Road,4,Maharashtrian,150
Sufi's,https://www.zomato.com/pune/sufis-wanowrie,Wanowrie,3.7,"North Indian, Chinese, Fast Food",600
Agatya Restaurant,https://www.zomato.com/pune/agatya-restaurant-budhwar-peth,Budhwar Peth,3.9,"North Indian, South Indian, Chinese, Fast Food",700
Pinxx - Hotel Royal Orchid Central,https://www.zomato.com/pune/pinxx-hotel-royal-orchid-central-kalyani-nagar,Kalyani Nagar,3.6,"European, North Indian, Asian",1800
Dakshin,https://www.zomato.com/pune/dakshin-pimpri,Pimpri,3.5,"North Indian, Mughlai, Chinese",900
Kasturi Mastani House,https://www.zomato.com/pune/kasturi-mastani-house-kothrud,Kothrud,2.8,"Fast Food, South Indian, Street Food, Ice Cream",250
Thai House,https://www.zomato.com/pune/thai-house-khadki,Khadki,3.9,"Thai, Seafood",1000
Rupesh Misal,https://www.zomato.com/pune/rupesh-misal-dehu-road,Dehu Road,3.8,Street Food,100
Grand Pavilion - Grand Exotica Business Hotel,https://www.zomato.com/pune/grand-pavilion-grand-exotica-business-hotel-chinchwad,Chinchwad,3.7,"North Indian, Mughlai, Fast Food",1100
Pizza & Soup,https://www.zomato.com/pune/pizza-soup-sinhgad-road,Sinhgad Road,2.7,"Pizza, Italian, Fast Food",700
Talk About Multi Cuisine Restaurant & Bar,https://www.zomato.com/pune/talk-about-multi-cuisine-restaurant-bar-hinjawadi,Hinjawadi,2.7,"North Indian, Chinese, Italian, Japanese, Continental",1000
Khandeshi Zatka,https://www.zomato.com/pune/khandeshi-zatka-1-pimple-gurav,Pimple Gurav,3.5,"Maharashtrian, North Indian",400
Nagpuri Saoji,https://www.zomato.com/pune/nagpuri-saoji-kharadi,Kharadi,0,North Indian,350
Sambar Xpress,https://www.zomato.com/pune/sambar-xpress-hadapsar,Hadapsar,3,South Indian,300
The Square - Novotel,https://www.zomato.com/pune/the-square-novotel-viman-nagar,Viman Nagar,4.1,"North Indian, European, Continental, Chinese, Mediterranean, Asian, Italian",1700
Expresso Royle,https://www.zomato.com/pune/expresso-royle-akurdi,Akurdi,3.6,"Cafe, Fast Food",400
Annie's Kitchen,https://www.zomato.com/pune/annies-kitchen-sinhgad-road,Sinhgad Road,3.7,"North Indian, Chinese, Mughlai",750
Hotel Shipra Restaurant & Bar,https://www.zomato.com/pune/hotel-shipra-restaurant-bar-chinchwad,Chinchwad,3.6,"North Indian, Chinese, Hyderabadi, Malwani, Kebab, Seafood, Fast Food",1000
Krushnangan Pure Veg,https://www.zomato.com/pune/krushnangan-pure-veg-pimple-nilakh,Pimple Nilakh,3.5,"North Indian, Chinese, South Indian, Fast Food",700
Namma Kitchen,https://www.zomato.com/pune/namma-kitchen-1-baner,Baner,3.4,"North Indian, Chinese, South Indian",400
Vishal Chinese Food,https://www.zomato.com/pune/vishal-chinese-food-chinchwad,Chinchwad,3.6,Chinese,300
MFC Restaurants,https://www.zomato.com/pune/mfc-restaurants-kothrud,Kothrud,3.7,Fast Food,350
Burger Story,https://www.zomato.com/pune/burger-story-wakad,Wakad,3.8,"Burger, Fast Food",
Hotel Malwani Solkadi,https://www.zomato.com/pune/hotel-malwani-solkadi-1-sadashiv-peth,Sadashiv Peth,4,"North Indian, Malwani",400
Delhi Down Town,https://www.zomato.com/pune/delhi-down-town-model-colony,Model Colony,4.2,"North Indian, Chinese",600
Shahi Angare,https://www.zomato.com/pune/shahi-angare-nigdi,Nigdi,3.2,"Chinese, North Indian, Mughlai",400
O Bhaiya,https://www.zomato.com/pune/o-bhaiya-fc-road,FC Road,4,"Street Food, Fast Food",400
Harshu Veg,https://www.zomato.com/pune/harshu-veg-fc-road,FC Road,3.4,"North Indian, Maharashtrian",400
Peshwa,https://www.zomato.com/pune/peshwa-fc-road,FC Road,2.8,"Maharashtrian, Chinese, North Indian",500
Vintage Cafe,https://www.zomato.com/pune/vintage-cafe-kondhwa,Kondhwa,3.6,"Cafe, Chinese, Street Food",350
Yummy Pan,https://www.zomato.com/pune/yummy-pan-2-chinchwad,Chinchwad,3.3,"North Indian, Chinese",250
Dosart,https://www.zomato.com/pune/dosart-kharadi,Kharadi,0,"South Indian, North Indian, Chinese",350
Roll Point,https://www.zomato.com/pune/roll-point-dhankawadi,Dhankawadi,3.3,Rolls,150
Community Cafe,https://www.zomato.com/pune/community-cafe-3-kothrud,Kothrud,3.9,"Cafe, Continental",600
Delhi Down Town,https://www.zomato.com/pune/delhi-down-town-model-colony,Model Colony,4.2,"North Indian, Chinese",600
O Bhaiya,https://www.zomato.com/pune/o-bhaiya-fc-road,FC Road,4,"Street Food, Fast Food",400
Cafe Pizzerio,https://www.zomato.com/pune/cafe-pizzerio-kothrud,Kothrud,3.7,"Cafe, Fast Food, Pizza",500
Konkan Express,https://www.zomato.com/pune/konkan-express-kothrud,Kothrud,3.5,"North Indian, Konkan, Seafood",600
Banjara Hills,https://www.zomato.com/pune/banjara-hills-bavdhan,Bavdhan,2.3,"Chinese, North Indian, Continental",900
Jalsa Resto And Bar,https://www.zomato.com/pune/jalsa-resto-and-bar-hadapsar,Hadapsar,2.7,"Maharashtrian, Malwani, North Indian, Beverages",1000
K Anna Maggie Point,https://www.zomato.com/pune/k-anna-maggie-point-koregaon-park,Koregaon Park,3.4,Fast Food,200
Cafe New Durga,https://www.zomato.com/pune/cafe-new-durga-katraj,Katraj,3.5,"Fast Food, Beverages",400
Aaswad Biryani,https://www.zomato.com/pune/aaswad-biryani-karve-nagar,Karve Nagar,0,"Biryani, North Indian",450
Grab Popcorn,https://www.zomato.com/pune/grab-popcorn-wanowrie,Wanowrie,3.8,Fast Food,200
Bo'w'l Khichdi,https://www.zomato.com/pune/bowl-khichdi-kharadi,Kharadi,0,North Indian,
Foodkart,https://www.zomato.com/pune/foodkart-hadapsar,Hadapsar,0,"Chinese, North Indian",600
Omee's Kitchen,https://www.zomato.com/pune/omees-kitchen-chinchwad,Chinchwad,0,Maharashtrian,
Akkha Masur,https://www.zomato.com/pune/akkha-masur-sinhgad-road,Sinhgad Road,0,Maharashtrian,250
Shahi Punjab Pure Veg,https://www.zomato.com/pune/shahi-punjab-pure-veg-hadapsar,Hadapsar,3.5,"North Indian, Chinese, Fast Food",
Big Burger,https://www.zomato.com/pune/big-burger-kharadi,Kharadi,3.9,Fast Food,300
Kolkata Darbar,https://www.zomato.com/pune/kolkata-darbar-wadgaon-sheri,Wadgaon Sheri,3.7,"Biryani, Kebab, North Indian",400
Hotel Lijjat,https://www.zomato.com/pune/hotel-lijjat-wagholi,Wagholi,3.4,"North Indian, South Indian, Chinese",550
Sparrow Rolls Rice And More,https://www.zomato.com/pune/sparrow-rolls-rice-and-more-narhe,Narhe,3.6,"Rolls, Biryani",200
Avadhoot Restaurant,https://www.zomato.com/pune/avadhoot-restaurant-wakad,Wakad,3.3,"South Indian, Chinese, Street Food, Beverages",250
Mr. Roll And Mrs. Maggi,https://www.zomato.com/pune/mr-roll-and-mrs-maggi-kothrud,Kothrud,3.2,"Rolls, Chinese, Fast Food",300
Ahare Bahare - Authentic Bengali Cuisine,https://www.zomato.com/pune/ahare-bahare-authentic-bengali-cuisine-wakad,Wakad,3.5,"Bengali, Mughlai, Biryani, Rolls",450
MH-Spice,https://www.zomato.com/pune/mh-spice-wagholi,Wagholi,3.2,"Maharashtrian, Desserts",
The Hidden Kitchen,https://www.zomato.com/pune/the-hidden-kitchen-1-hinjawadi,Hinjawadi,3.9,North Indian,
Masala Wok,https://www.zomato.com/pune/masala-wok-wakad,Wakad,3.5,"Asian, Chinese, Seafood",500
Kiraaak,https://www.zomato.com/pune/kiraaak-kharadi,Kharadi,3.6,"North Indian, Chinese",
Frangipani - Oxford Golf Resort,https://www.zomato.com/pune/frangipani-oxford-golf-resort-lavale,Lavale,3.6,"North Indian, Continental, Italian",1500
Govinda Deccan Veg,https://www.zomato.com/pune/govinda-deccan-veg-deccan-gymkhana,Deccan Gymkhana,3.8,"Fast Food, Chinese, North Indian, Beverages",300
Chachokha Cafe,https://www.zomato.com/pune/chachokha-cafe-yerawada,Yerawada,3.4,"Chinese, North Indian, Biryani",300
Rich Belgian Waffle,https://www.zomato.com/pune/rich-belgian-waffle-pimple-gurav,Pimple Gurav,3.2,"Desserts, Beverages",200
Punjabi Spice,https://www.zomato.com/pune/punjabi-spice-wagholi,Wagholi,3.8,North Indian,1000
Shreeman,https://www.zomato.com/pune/shreeman-1-kothrud,Kothrud,3.8,"North Indian, Malwani, Chinese",1300
Sree Sai South Indian Dosa Center,https://www.zomato.com/pune/sree-sai-south-indian-dosa-center-pimpri,Pimpri,3.1,South Indian,300
Yaara Di Haaveli,https://www.zomato.com/pune/yaara-di-haaveli-dange-chowk,Dange Chowk,3.6,"North Indian, Chinese",1000
Chinese Katta,https://www.zomato.com/pune/chinese-katta-1-katraj,Katraj,3.2,"Chinese, North Indian, Fast Food",450
Club Cheese,https://www.zomato.com/pune/club-cheese-jm-road,JM Road,3.4,Fast Food,
Gandharv Pure Veg,https://www.zomato.com/pune/gandharv-pure-veg-ravet,Ravet,3.4,"North Indian, South Indian, Fast Food, Chinese",500
Guess Lounge,https://www.zomato.com/pune/guess-lounge-mundhwa,Mundhwa,0,"Italian, Chinese, North Indian, Seafood",500
Open House Kkitchen,https://www.zomato.com/pune/open-house-kkitchen-ravet,Ravet,3.3,"Continental, Italian, Chinese",300
Chinese Delight,https://www.zomato.com/pune/chinese-delight-kothrud,Kothrud,3.3,Chinese,
Kheema King,https://www.zomato.com/pune/kheema-king-nigdi,Nigdi,3.7,Fast Food,200
Desiano,https://www.zomato.com/pune/desiano-shivaji-nagar,Senapati Bapat Road,3.9,"Fast Food, Italian",550
#Selfieccino,https://www.zomato.com/pune/selfieccino-aundh,Aundh,3.9,"Cafe, Desserts",400
New Royal Chinese,https://www.zomato.com/pune/new-royal-chinese-aundh,Aundh,3.3,Chinese,300
Healthy Tadka,https://www.zomato.com/pune/healthy-tadka-erandwane,Erandwane,3.7,Healthy Food,500
Woods Villa Family Restaurant,https://www.zomato.com/pune/woods-villa-family-restaurant-erandwane,Erandwane,3.4,"North Indian, Chinese, Mughlai",900
Box Singh,https://www.zomato.com/pune/box-singh-viman-nagar,Viman Nagar,3.4,North Indian,
Spice It - Hotel Ibis,https://www.zomato.com/pune/spice-it-hotel-ibis-hinjawadi,Hinjawadi,3.8,"North Indian, Continental, Mexican",1200
Zakkas,https://www.zomato.com/pune/zakkas-1-hinjawadi,Hinjawadi,3.8,"Street Food, North Indian",250
Cabaret,https://www.zomato.com/pune/cabaret-baner,Baner,4,"Continental, North Indian, Chinese, Fast Food",1300
Gangotree,https://www.zomato.com/pune/gangotree-akurdi,Akurdi,3.9,"South Indian, North Indian, Street Food",300
Jain Home Foods,https://www.zomato.com/pune/jain-home-foods-dhankawadi,Dhankawadi,3.2,North Indian,200
Navmi Pure Veg,https://www.zomato.com/pune/navmi-pure-veg-chinchwad,Chinchwad,3.6,"North Indian, South Indian, Fast Food, Chinese, Street Food",600
Gokhle Mala,https://www.zomato.com/pune/gokhle-mala-bhosari,Bhosari,3.7,Maharashtrian,500
Shreeji Naan and Paratha,https://www.zomato.com/pune/shreeji-naan-and-paratha-akurdi,Akurdi,4,North Indian,600
Radha Krishna,https://www.zomato.com/pune/radha-krishna-pimple-saudagar,Pimple Saudagar,2.7,"North Indian, Chinese",750
The Munch Box,https://www.zomato.com/pune/the-munch-box-kharadi,Kharadi,4.1,"Continental, Italian, Desserts",
Green9 Restaurant,https://www.zomato.com/pune/green9-restaurant-wagholi,Wagholi,3.8,"North Indian, Chinese, Mughlai, Italian, Salad, Fast Food",1200
Sanman Family Restaurant,https://www.zomato.com/pune/sanman-family-restaurant-karve-nagar,Karve Nagar,3.6,"North Indian, Chinese, Seafood",800
China Hut,https://www.zomato.com/pune/china-hut-kothrud,Kothrud,3.3,Chinese,500
Fine Bakers,https://www.zomato.com/pune/fine-bakers-nigdi,Nigdi,4,"Bakery, Desserts",200
Krishna Dining,https://www.zomato.com/pune/krishna-dining-law-college-road,Law College Road,3.9,Maharashtrian,700
Mulaqaat,https://www.zomato.com/pune/mulaqaat-lonavala,Lonavala,3.7,"North Indian, Chinese, Mughlai, Malwani, South Indian",850
Golden Rock,https://www.zomato.com/pune/golden-rock-chinchwad,Chinchwad,3.3,"North Indian, Chinese, Biryani",800
Cafe Bay Leaf - Holiday Inn Pune Hinjawadi,https://www.zomato.com/pune/cafe-bay-leaf-holiday-inn-pune-hinjawadi-hinjawadi,Hinjawadi,3.6,"North Indian, Chinese, Japanese, Thai, Continental",1300
Shiv Sagar,https://www.zomato.com/pune/shiv-sagar-1-aundh,Aundh,2.5,"South Indian, Street Food, Chinese, North Indian",600
Coconut Grove Resto-Bar,https://www.zomato.com/pune/coconut-grove-resto-bar-camp-area,Camp Area,4,"Mangalorean, Seafood, Chettinad, North Indian",1200
Bliss Bakery & Cafe,https://www.zomato.com/pune/bliss-bakery-cafe-salunkhe-vihar-road,Salunkhe Vihar Road,3.8,"Bakery, Desserts, Cafe",350
Khalsa Dairy,https://www.zomato.com/pune/khalsa-dairy-viman-nagar,Viman Nagar,4,"Mithai, Street Food",250
Swad Kitchen,https://www.zomato.com/pune/swad-kitchen-nigdi,Nigdi,4,"North Indian, Chinese, Malwani",800
Vasu Vada Pav,https://www.zomato.com/pune/vasu-vada-pav-chinchwad,Chinchwad,3.7,"Street Food, South Indian",150
Mogambo Pav Bhaji And Juice,https://www.zomato.com/pune/mogambo-pav-bhaji-and-juice-1-hinjawadi,Hinjawadi,0,Street Food,250
Casserole,https://www.zomato.com/pune/casserole-pimple-gurav,Pimple Gurav,3.3,Healthy Food,
Shanmukha,https://www.zomato.com/pune/shanmukha-hinjawadi,Hinjawadi,3.5,"Biryani, North Indian, Andhra",
Shraddha Restaurant,https://www.zomato.com/pune/shraddha-restaurant-karve-nagar,Karve Nagar,3.1,"North Indian, Chinese, South Indian, Rolls",400
Chinjabi,https://www.zomato.com/pune/chinjabi-bavdhan,Bavdhan,3.7,"North Indian, Chinese",1200
Gabroo Da Dhaba,https://www.zomato.com/pune/gabroo-da-dhaba-baner,Baner,3.3,"North Indian, Chinese",550
Lehza Veg Divine,https://www.zomato.com/pune/lehza-veg-divine-wakad,Wakad,4.2,"North Indian, Chinese",
Giani Ice Cream,https://www.zomato.com/pune/giani-ice-cream-dhanori,Dhanori,3.3,"Ice Cream, Beverages",200
Mountain High,https://www.zomato.com/pune/mountain-high-wanowrie,Wanowrie,3.7,"North Indian, Chinese, Seafood",1200
Chops n Hops,https://www.zomato.com/pune/chops-n-hops-viman-nagar,Viman Nagar,3.9,"North Indian, Chinese",1200
The Bengal Kitchen,https://www.zomato.com/pune/the-bengal-kitchen-pimple-saudagar,Pimple Saudagar,4,Bengali,500
Yaron Da Adda,https://www.zomato.com/pune/yaron-da-adda-wakad,Wakad,3.8,North Indian,300
Kulhad,https://www.zomato.com/pune/kulhad-1-wakad,Wakad,3.8,"Mithai, Street Food",200
Flavours Street,https://www.zomato.com/pune/flavours-street-bibvewadi,Bibvewadi,3.8,Fast Food,350
Beach Town Cafe,https://www.zomato.com/pune/beach-town-cafe-pashan,Pashan,3.4,"Fast Food, Chinese",500
Hotel Lazeez,https://www.zomato.com/pune/hotel-lazeez-sinhgad-road,Sinhgad Road,3,"North Indian, Chinese, Fast Food",
Soulted Stories,https://www.zomato.com/soultedstories,Salunkhe Vihar Road,4.3,"North Indian, Continental, Italian, Beverages",1300
The Eye Club Resto Lounge & Bar - Hotel Hindusthan International,https://www.zomato.com/pune/the-eye-club-resto-lounge-bar-hotel-hindusthan-international-viman-nagar,Viman Nagar,3.4,"North Indian, Chinese, Continental",1600
Pune Cocktail Bar,https://www.zomato.com/pune/pune-cocktail-bar-senapati-bapat-road,Senapati Bapat Road,4.1,"Salad, Continental, Finger Food, North Indian, Italian, Maharashtrian",1800
Orbit,https://www.zomato.com/pune/orbit-kothrud,Kothrud,3.9,"Continental, Italian, North Indian, Asian, Finger Food, Fast Food",1500
Vitthal Restaurant,https://www.zomato.com/pune/vitthal-restaurant-aundh,Aundh,3.7,"Street Food, South Indian, North Indian",450
Bubsterr's,https://www.zomato.com/pune/bubsterrs-kalyani-nagar,Kalyani Nagar,4,"Fast Food, Pizza, North Indian",1600
Ahling,https://www.zomato.com/pune/ahling-dhole-patil-road,Dhole Patil Road,4,"Chinese, Seafood",800
Cafe Brava,https://www.zomato.com/pune/cafe-brava-aundh,Aundh,3.5,"Cafe, Fast Food, Beverages",600
Hotel Sanman,https://www.zomato.com/pune/hotel-sanman-baner,Baner,0,Seafood,1000
Millhouse: Cafe & Bistro,https://www.zomato.com/pune/millhouse-cafe-bistro-shivaji-nagar,Shivaji Nagar,3.9,"European, Continental, Italian",900
Smokin' Joe's,https://www.zomato.com/pune/smokin-joes-kothrud,Kothrud,2.7,"Pizza, Fast Food",600
Hotel Crystal Hut,https://www.zomato.com/pune/hotel-crystal-hut-pimple-saudagar,Pimple Saudagar,3.4,"Chinese, North Indian, Mughlai, Seafood",1200
Aabacha Dhaba,https://www.zomato.com/pune/aabacha-dhaba-sadashiv-peth,Sadashiv Peth,3.8,"North Indian, Maharashtrian",400
Twisted Samocha,https://www.zomato.com/pune/twisted-samocha-pimple-saudagar,Pimple Saudagar,3.7,"Street Food, Fast Food",150
Mirchiram Veg- Non Veg Restaurant,https://www.zomato.com/pune/mirchiram-veg-non-veg-restaurant-balewadi,Balewadi,0,North Indian,200
Dacoit And Sepoy,https://www.zomato.com/pune/dacoit-and-sepoy-kharadi,Kharadi,3.2,North Indian,500
Simran's Kitchen,https://www.zomato.com/pune/simrans-kitchen-wagholi,Wagholi,0,"South Indian, North Indian, Chinese",
The Empire Cafe,https://www.zomato.com/pune/the-empire-cafe-katraj,Katraj,3,Fast Food,
Shiv Shambho Vadapav Corner,https://www.zomato.com/pune/shiv-shambho-vadapav-corner-kondhwa,Wanowrie Kondhwa Area,3.4,Street Food,100
Cafe Social Beans,https://www.zomato.com/pune/cafe-social-beans-kharadi,Kharadi,3.4,"Continental, North Indian, Fast Food",1000
Gappa Goshti,https://www.zomato.com/pune/gappa-goshti-wakad,Wakad,3.6,"Fast Food, Maharashtrian, Beverages",300
Tha Arya Kitchen,https://www.zomato.com/pune/tha-arya-kitchen-aundh,Aundh,3.4,"Chinese, North Indian",500
Mr. Chopsticks,https://www.zomato.com/pune/mr-chopsticks-baner,Baner,3.3,Chinese,
Gravity Shakes,https://www.zomato.com/pune/gravity-shakes-lohegaon,KP and Kalyani,3.3,Beverages,
Malhar Chinese and Fast Food,https://www.zomato.com/pune/malhar-chinese-and-fast-food-satara-road,Satara Road,3.2,"Chinese, North Indian, Street Food",350
HariPriya Restaurant,https://www.zomato.com/pune/haripriya-restaurant-hadapsar,Hadapsar,3.2,Hyderabadi,300
City Burger And More,https://www.zomato.com/pune/city-burger-and-more-rasta-peth,Rasta Peth,3.4,"Burger, Sandwich, Fast Food, Beverages",
Kamat Pure Veg,https://www.zomato.com/pune/kamat-pure-veg-wagholi,Wagholi,3.1,"North Indian, Chinese, Biryani, South Indian",
Hari Om Juice Bar,https://www.zomato.com/pune/hari-om-juice-bar-1-kothrud,Kothrud,3.2,Juices,200
KNS,https://www.zomato.com/pune/kns-3-pimple-gurav,Pimple Gurav,3.6,"Fast Food, Pizza",300
99 Pune Hotel,https://www.zomato.com/pune/99-pune-hotel-kondhwa,Kondhwa,0,"Chinese, Seafood, Biryani, Fast Food, Desserts, Beverages",
Eater's Cafe,https://www.zomato.com/pune/eaters-cafe-wagholi,Wagholi,3.2,"North Indian, Fast Food, Beverages",200
Hotel Mankari,https://www.zomato.com/pune/hotel-mankari-hadapsar,Hadapsar,3.2,"Maharashtrian, North Indian, Malwani",700
Naivedyam Pure Veg,https://www.zomato.com/pune/naivedyam-pure-veg-kharadi,Kharadi,3.1,South Indian,700
Chilled Affair,https://www.zomato.com/pune/chilled-affair-aundh,Aundh,3.1,"Ice Cream, Desserts, Beverages",350
A1 Express,https://www.zomato.com/pune/a1-express-akurdi,Akurdi,3.4,North Indian,400
Pot De Fusion,https://www.zomato.com/pune/pot-de-fusion-hinjawadi,Hinjawadi,4.4,"North Indian, Mughlai, Chinese, Fast Food, Asian",
Zero Gravity Bar N Kitchen,https://www.zomato.com/pune/zero-gravity-bar-n-kitchen-pimple-saudagar,Pimple Saudagar,4.1,"North Indian, Chinese, Continental, Mughlai",1800
Shreyan,https://www.zomato.com/pune/shreyan-shukrawar-peth,Shukrawar Peth,2.9,"South Indian, Beverages, North Indian",750
Darkness Fantasy,https://www.zomato.com/pune/darkness-fantasy-nibm-road,NIBM Road,3.5,"Desserts, Ice Cream",300
Khalsa Veg,https://www.zomato.com/pune/khalsa-veg-baner,Baner,3.6,North Indian,500
Fannito Pizza,https://www.zomato.com/pune/fannito-pizza-pimple-saudagar,Pimple Saudagar,3.2,"Pizza, Fast Food",500
K-9 Yummy Momos Centre,https://www.zomato.com/pune/k-9-yummy-momos-centre-koregaon-park,Koregaon Park,3.5,Momos,150
Potoba,https://www.zomato.com/pune/potoba-2-karve-nagar,Karve Nagar,3.4,"Maharashtrian, North Indian, Chinese, Fast Food",500
Hotel Samudra Kinara,https://www.zomato.com/pune/hotel-samudra-kinara-narhe,Narhe,3.7,"Maharashtrian, Biryani",300
Engineer's Chai,https://www.zomato.com/pune/engineers-chai-katraj,Katraj,3.7,"Tea, Coffee, Fast Food",300
Truly Fresh,https://www.zomato.com/pune/truly-fresh-magarpatta,Magarpatta,3.3,Beverages,400
CAD (M) CAD (B),https://www.zomato.com/pune/cad-m-cad-b-1-fc-road,FC Road,3.4,"Fast Food, Beverages",350
Ruchi Snacks Centre,https://www.zomato.com/pune/ruchi-snacks-centre-karve-nagar,Karve Nagar,3.8,"Street Food, South Indian",200
Aahaar Veg Court,https://www.zomato.com/pune/aahaar-veg-court-bhosari,Bhosari,3.2,"North Indian, Chinese, South Indian",500
Navmi Veg-Nonveg,https://www.zomato.com/pune/navmi-veg-nonveg-chinchwad,Chinchwad,2.7,"North Indian, Mughlai, Chinese, Seafood",750
JW Marriott Food Truck,https://www.zomato.com/jw-marriott-food-truck-food-truck,SB Road - Aundh,3.9,Fast Food,400
Himalay Momos,https://www.zomato.com/pune/himalay-momos-viman-nagar,Viman Nagar,4,"Street Food, Momos",150
The Cake Factory,https://www.zomato.com/pune/the-cake-factory-vishrantwadi,Vishrantwadi,3.5,Bakery,350
Pizzarella,https://www.zomato.com/pune/pizzarella-nibm-road,NIBM Road,3.9,Pizza,500
The Chilika Restaurant,https://www.zomato.com/pune/the-chilika-restaurant-kalyani-nagar,Kalyani Nagar,3.7,"North Indian, Mughlai, Chinese",600
The Chilika Restaurant,https://www.zomato.com/pune/the-chilika-restaurant-kalyani-nagar,Kalyani Nagar,3.7,"North Indian, Mughlai, Chinese",600
Late Nite Bite,https://www.zomato.com/pune/late-nite-bite-katraj,Katraj,3.9,"Fast Food, Healthy Food, Lebanese, Chinese, Beverages",
Umber,https://www.zomato.com/pune/umber-karve-nagar,Karve Nagar,4.4,"Maharashtrian, Street Food, Beverages",400
Spice Nation,https://www.zomato.com/pune/spice-nation-hinjawadi,Hinjawadi,3.6,"North Indian, Mughlai, Chinese, Continental",1200
Hotel Neha,https://www.zomato.com/pune/hotel-neha-wadgaon-sheri,Wadgaon Sheri,2.8,"North Indian, Chinese, Mughlai",400
Sudama Bar & Restaurant,https://www.zomato.com/pune/sudama-bar-restaurant-shivaji-nagar,Shivaji Nagar,3.8,"North Indian, Chinese",800
Cafe Coffee Hutt,https://www.zomato.com/pune/cafe-coffee-hutt-wakad,Wakad,3.9,"Cafe, Fast Food, Beverages",300
Group Four Kolhapuri,https://www.zomato.com/pune/group-four-kolhapuri-katraj,Katraj,3.6,"Maharashtrian, North Indian",550
Zanzibar - The Central Park Hotel,https://www.zomato.com/pune/zanzibar-the-central-park-hotel-bund-garden,Bund Garden Road,3.3,"European, Chinese, North Indian, Mughlai, Mangalorean",1500
Lesarah,https://www.zomato.com/pune/lesarah-wadgaon-sheri,Wadgaon Sheri,3.7,"Chinese, North Indian, Maharashtrian, Malwani",650
Terrazzo,https://www.zomato.com/pune/terrazzo-old-mumbai-pune-highway,Old Mumbai-Pune Highway,3.7,"North Indian, Continental",1500
The Taste,https://www.zomato.com/pune/the-taste-wagholi,Wagholi,3.5,"North Indian, Chinese, Fast Food",700
Rajwada,https://www.zomato.com/pune/rajwada-baner-road,Baner,2.5,"North Indian, Chinese, Maharashtrian",750
Vicki's,https://www.zomato.com/pune/vickis-nibm-road,NIBM Road,4.1,"Italian, Salad, Fast Food",500
Expresso Royle,https://www.zomato.com/pune/expresso-royle-ravet,Ravet,3.7,"Fast Food, Beverages, Desserts",400
Roll Point,https://www.zomato.com/pune/roll-point-sadashiv-peth,Sadashiv Peth,3.3,Rolls,200
Jalebi Junction,https://www.zomato.com/pune/jalebi-junction-1-baner,Baner,3.6,"Street Food, North Indian, Chinese, Mithai, Ice Cream",450
Mughal Rasoi,https://www.zomato.com/pune/mughal-rasoi-kondhwa,Kondhwa,3.2,"North Indian, Chinese, Mughlai",500
Tiffin Box,https://www.zomato.com/pune/tiffin-box-hadapsar,Hadapsar,3.1,North Indian,
Oya Kekars,https://www.zomato.com/pune/oya-kekars-1-pimple-saudagar,Pimple Saudagar,3.6,Bakery,400
Myfroyoland,https://www.zomato.com/pune/myfroyoland-koregaon-park,Koregaon Park,4.3,"Desserts, Frozen Yogurt",400
Sidheshwar Foods,https://www.zomato.com/pune/sidheshwar-foods-hadapsar,Hadapsar,3.6,"Chinese, North Indian",750
Chandralok,https://www.zomato.com/pune/chandralok-karve-nagar,Karve Nagar,3.8,"North Indian, Chinese, Mughlai",1200
Utopia,https://www.zomato.com/pune/utopia-lonavala,Lonavala,3.9,"Mughlai, North Indian, Asian",1000
New Naaz Biryani 2,https://www.zomato.com/pune/new-naaz-biryani-2-kharadi,Kharadi,3.2,"Biryani, Mughlai",300
Zaika Spice Cream,https://www.zomato.com/pune/zaika-spice-cream-fc-road,FC Road,4.3,"Ice Cream, Desserts",100
The Burger Cafe,https://www.zomato.com/pune/the-burger-cafe-pimple-saudagar,Pimple Saudagar,2.9,Fast Food,250
Gayatri Bhel,https://www.zomato.com/pune/gayatri-bhel-pimple-gurav,Pimple Gurav,3.5,"North Indian, South Indian, Fast Food, Street Food",300
Top In Town,https://www.zomato.com/pune/top-in-town-deccan-gymkhana,Deccan Gymkhana,4,"North Indian, Bengali, Chinese, Rolls",500
Top In Town,https://www.zomato.com/pune/top-in-town-deccan-gymkhana,Deccan Gymkhana,4,"North Indian, Bengali, Chinese, Rolls",500
Aangan Veg Restaurant,https://www.zomato.com/pune/aangan-veg-restaurant-katraj,Katraj,3.7,"North Indian, South Indian, Street Food, Fast Food, Chinese, Beverages",500
Suonmoi,https://www.zomato.com/pune/suonmoi-dhole-patil-road,Dhole Patil Road,4,"Chinese, Thai",1200
Eighty Eight - Hyatt Pune,https://www.zomato.com/pune/eighty-eight-hyatt-pune-kalyani-nagar,Kalyani Nagar,3.9,"Continental, North Indian, Italian, Healthy Food",2600
Super Burgers,https://www.zomato.com/pune/super-burgers-koregaon-park,KP and Kalyani,3.9,Burger,
New Uppala,https://www.zomato.com/pune/new-uppala-viman-nagar,Viman Nagar,3.7,"North Indian, South Indian, Fast Food",550
The Bar Tales,https://www.zomato.com/pune/the-bar-tales-bavdhan,Bavdhan,3.8,"American, North Indian, Chinese",1500
Spice Wave,https://www.zomato.com/pune/spice-wave-senapati-bapat-road,Senapati Bapat Road,4,Fast Food,400
