Restaurant_Name,Web_Link,Locality,Ratings_out_of_5,Cuisines,Charges_for_two
Chavishta Katta,https://www.zomato.com/pune/chavishta-katta-kothrud,Kothrud,0,North Indian,150
Hotel Vakratund,https://www.zomato.com/pune/hotel-vakratund-narhe,Narhe,0,North Indian,350
Munchy Crunchy,https://www.zomato.com/pune/munchy-crunchy-1-pimple-saudagar,Pimpri Chinchwad Area,0,"Fast Food, Street Food, Beverages",
Wheat N Meat,https://www.zomato.com/pune/wheat-n-meat-lohegaon,Lohegaon,3,"North Indian, Chinese, Goan",650
Radhakrushna Lunch Home,https://www.zomato.com/pune/radhakrushna-lunch-home-bhosari,Bhosari,0,Maharashtrian,150
Ting Tong,https://www.zomato.com/pune/ting-tong-kharadi,Kharadi,3.6,"North Indian, Fast Food",
The Burger Ville,https://www.zomato.com/pune/the-burger-ville-kharadi,Kharadi,0,"Burger, Fast Food",250
Shri Foods Tiffin & Much More,https://www.zomato.com/pune/shri-foods-tiffin-much-more-pimple-nilakh,Pimpri Chinchwad Area,0,North Indian,
Jai Ganesh,https://www.zomato.com/pune/jai-ganesh-katraj,Katraj,0,"Maharashtrian, Street Food",300
Instacrave,https://www.zomato.com/pune/instacrave-senapati-bapat-road,Senapati Bapat Road,0,"Italian, Fast Food, North Indian",
Food Express,https://www.zomato.com/pune/food-express-kharadi,Kharadi,0,Fast Food,250
Meet Dinning Hall & Trisha Outdoor Catering,https://www.zomato.com/pune/meet-dinning-hall-trisha-outdoor-catering-kharadi,Kharadi,0,North Indian,250
Hotel Panchpakwan,https://www.zomato.com/pune/hotel-panchpakwan-katraj,Katraj,0,North Indian,200
Bhoomi Tiffin Service,https://www.zomato.com/pune/bhoomi-tiffin-service-katraj,Katraj,0,Maharashtrian,300
Shri Adarsh Foods,https://www.zomato.com/pune/shri-adarsh-foods-karve-nagar,Karve Nagar,0,"North Indian, South Indian",
Ganeshan Food,https://www.zomato.com/pune/ganeshan-food-chinchwad,Chinchwad,0,North Indian,250
Food Lovers,https://www.zomato.com/pune/food-lovers-chinchwad,Chinchwad,0,Fast Food,300
Hotel Omkar,https://www.zomato.com/pune/hotel-omkar-wakad,Wakad,0,North Indian,250
Avanti Snacks And Bhojnalay,https://www.zomato.com/pune/avanti-snacks-and-bhojnalay-hadapsar,Hadapsar,0,"North Indian, Street Food",200
Biryani Town,https://www.zomato.com/pune/biryani-town-dhankawadi,Dhankawadi,0,Biryani,300
Sainath Snacks Center,https://www.zomato.com/pune/sainath-snacks-center-sinhgad-road,Sinhgad Road,0,"Chinese, North Indian",200
Ashay's,https://www.zomato.com/pune/ashays-1-sinhgad-road,Sinhgad Road,0,Momos,250
Annpurna Hotel,https://www.zomato.com/pune/annpurna-hotel-pashan,Pashan,0,"South Indian, Fast Food, Chinese, North Indian",500
MP Tadka,https://www.zomato.com/pune/mp-tadka-1-wakad,Wakad,0,North Indian,
Jee Aayan Nuu,https://www.zomato.com/pune/jee-aayan-nuu-kharadi,Kharadi,3.4,"North Indian, Chinese",
Prasanna Hotel,https://www.zomato.com/pune/prasanna-hotel-hadapsar,Hadapsar,0,South Indian,200
Shri Sai Lunch Home And Biryani House,https://www.zomato.com/pune/shri-sai-lunch-home-and-biryani-house-1-senapati-bapat-road,Senapati Bapat Road,0,"Chinese, South Indian, Biryani",
Samad Foods New Poona Bakery,https://www.zomato.com/pune/samad-foods-new-poona-bakery-hinjawadi,Hinjawadi,0,"Bakery, Street Food",150
Ezee Bzee,https://www.zomato.com/pune/ezee-bzee-wadgaon-sheri,Wadgaon Sheri,0,"Burger, Fast Food",
Simran Court Restaurant & Bar,https://www.zomato.com/pune/simran-court-restaurant-bar-wakad,Wakad,0,"North Indian, Chinese, Continental",1000
Matan kalwan,https://www.zomato.com/pune/matan-kalwan-katraj,Katraj,0,Maharashtrian,400
The Bespoke Nutrition,https://www.zomato.com/pune/the-bespoke-nutrition-warje,Warje,0,Healthy Food,
Monar Cafe,https://www.zomato.com/pune/monar-cafe-1-kothrud,Kothrud,0,"South Indian, North Indian",200
Muley Caterers,https://www.zomato.com/pune/muley-caterers-lohegaon,Lohegaon,0,"Maharashtrian, North Indian",
La Moreish,https://www.zomato.com/pune/la-moreish-katraj,Katraj,0,"Desserts, Bakery",300
SK Hyderabadi Biryani House,https://www.zomato.com/pune/sk-hyderabadi-biryani-house-kharadi,Kharadi,0,North Indian,300
B3,https://www.zomato.com/pune/b3-balewadi,Balewadi,3.1,"North Indian, Chinese, Biryani",400
Sai Abhiruchi,https://www.zomato.com/pune/sai-abhiruchi-sinhgad-road,Sinhgad Road,0,South Indian,200
Urban Eats,https://www.zomato.com/pune/urban-eats-wagholi,Wagholi,0,"Maharashtrian, North Indian",
Masala Dabar,https://www.zomato.com/pune/masala-dabar-balewadi,Balewadi,0,"North Indian, South Indian",250
Hotel Sunstar,https://www.zomato.com/pune/hotel-sunstar-shivapur,Shivapur,0,"North Indian, Chinese, South Indian, Street Food",500
Shetkari Veg Non Veg Katta,https://www.zomato.com/pune/shetkari-veg-non-veg-katta-talegaon,Talegaon,0,"North Indian, Maharashtrian, Chinese",500
Whole Sale Khana,https://www.zomato.com/pune/whole-sale-khana-kothrud,Kothrud,0,"North Indian, Chinese, Biryani",
