,Locality,Sponsored,Number of votes,Ratings_out_of_5,Charges_for_two,Cuisines,Wine and Beer,Vegetarian Only,Vegan Options,Sugar Free Options,Buffet
6934,Karve Nagar,Quick Bites,0,0.0,550,"Fast Food, Desserts, Beverages",0,0,0,0,0
6935,Lonavala,Casual Dining,0,0.0,800,"Chinese, South Indian, North Indian, Fast Food, Malwani, Desserts, Beverages",0,0,0,0,0
6936,Bhosari,Quick Bites,0,0.0,100,Street Food,0,1,0,0,0
6937,Dange Chowk,Quick Bites,0,0.0,300,Chinese,0,0,0,0,0
6938,Yerawada,Delivery,0,0.0,0,Rolls,0,0,0,0,0
6939,Salunkhe Vihar Road,"Takeaway, Delivery",0,0.0,0,Fast Food,0,0,0,0,0
6940,Vishrantwadi,Delivery,0,0.0,0,Biryani,0,0,0,0,0
6941,Kharadi,Quick Bites,0,0.0,200,North Indian,0,0,0,0,0
6942,Shivaji Nagar,Quick Bites,0,0.0,200,South Indian,0,0,0,0,0
6943,Wagholi,"Takeaway, Delivery",0,0.0,0,Rolls,0,0,0,0,0
6944,Lohegaon,"Takeaway, Delivery",0,0.0,0,Chinese,0,0,0,0,0
6945,Chinchwad,Quick Bites,0,0.0,300,"Fast Food, Beverages",0,0,0,0,0
6946,Narhe,Quick Bites,0,0.0,300,Fast Food,0,1,0,0,0
6947,KP and Kalyani,Food Truck,0,0.0,300,"Fast Food, North Indian, Rolls",0,0,0,0,0
6948,Yerawada,Quick Bites,0,0.0,600,"North Indian, Chinese",0,0,0,0,0
6949,Ravet,Quick Bites,0,0.0,600,"Maharashtrian, North Indian",0,0,0,0,0
6950,Chinchwad,Quick Bites,0,0.0,400,North Indian,0,0,0,0,0
6951,Yerawada,Delivery,0,0.0,0,"North Indian, South Indian",0,0,0,0,0
6952,Viman Nagar,Delivery,0,0.0,0,Biryani,0,0,0,0,0
6953,"Magarpatta, Pune Sholapur Rd",Delivery,0,0.0,0,North Indian,0,0,0,0,0
6954,Wadgaon Sheri,"Takeaway, Delivery",0,0.0,0,Burger,0,0,0,0,0
6955,Kothrud,Quick Bites,0,0.0,250,"Fast Food, Rolls, Beverages",0,0,0,0,0
6956,Kothrud,Paan Shop,0,0.0,100,Paan,0,0,0,0,0
6957,Kothrud Area,Delivery,0,0.0,0,Rolls,0,0,0,0,0
6958,Ravet,Quick Bites,0,0.0,300,North Indian,0,1,0,0,0
6959,Sinhgad Road,Quick Bites,0,0.0,200,"Street Food, South Indian",0,0,0,0,0
6960,Chinchwad,Quick Bites,0,0.0,400,"Biryani, BBQ",0,0,0,0,0
6961,Yerawada,Delivery,0,0.0,0,North Indian,0,0,0,0,0
6962,Talegaon,Quick Bites,0,0.0,300,"Chinese, Maharashtrian",0,0,0,0,0
6963,Viman Nagar,Delivery,0,0.0,0,Rolls,0,0,0,0,0
6964,Hadapsar,Quick Bites,0,0.0,300,"North Indian, Mughlai, Biryani",0,0,0,0,0
6965,Kothrud Area,Delivery,0,0.0,0,Chinese,0,0,0,0,0
6966,Hinjawadi,Quick Bites,0,0.0,600,"North Indian, South Indian, Fast Food, Beverages",0,1,0,0,0
6967,Bhosari,"Takeaway, Delivery",0,0.0,0,"Biryani, North Indian, Chinese",0,0,0,0,0
6968,Hadapsar,Quick Bites,0,0.0,300,Kebab,0,0,0,0,0
6969,Hadapsar,Quick Bites,0,0.0,300,"Chinese, Fast Food",0,0,0,0,0
6970,Hadapsar,Food Court,0,0.0,300,Chinese,0,0,0,0,0
6971,Narhe,Quick Bites,0,0.0,450,"North Indian, Maharashtrian",0,0,0,0,0
6972,Vishrantwadi,Delivery,0,0.0,0,South Indian,0,0,0,0,0
6973,Viman Nagar,Delivery,0,0.0,0,Rolls,0,0,0,0,0
6974,Kothrud,Quick Bites,0,0.0,250,"Fast Food, Beverages, Desserts",0,0,0,0,0
6975,Hadapsar,Quick Bites,0,0.0,200,North Indian,0,0,0,0,0
6976,Karve Nagar,Quick Bites,0,0.0,300,Fast Food,0,1,0,0,0
6977,Karve Nagar,Quick Bites,0,0.0,300,"Fast Food, Pizza, Sandwich, Beverages",0,0,0,0,0
6978,Hadapsar,Quick Bites,0,0.0,250,"Momos, Fast Food",0,0,0,0,0
6979,Hadapsar,"Sweet Shop, Quick Bites",0,0.0,250,"Mithai, Fast Food",0,0,0,0,0
6980,Hadapsar,Casual Dining,0,0.0,1100,"North Indian, Mughlai, Beverages",0,0,0,0,0
6981,Wagholi,Quick Bites,0,0.0,350,Biryani,0,0,0,0,0
6982,Karve Nagar,Delivery,0,0.0,0,"Rolls, North Indian",0,0,0,0,0
6983,Viman Nagar,Delivery,0,0.0,0,"Chinese, Fast Food",0,0,0,0,0
6984,Bibvewadi,Dessert Parlor,0,0.0,150,Ice Cream,0,1,0,0,0
6985,Karve Nagar,Quick Bites,0,0.0,150,Street Food,0,0,0,0,0
6986,Bavdhan,Quick Bites,0,0.0,450,"North Indian, Biryani, Chinese",0,0,0,0,0
6987,Wagholi,"Takeaway, Delivery",0,0.0,0,North Indian,0,0,0,0,0
6988,Wakad,Delivery,0,0.0,0,Burger,0,0,0,0,0
6989,Hadapsar,"Takeaway, Delivery",0,0.0,0,"Street Food, Beverages",0,1,0,0,0
6990,Dhole Patil Road,Quick Bites,0,0.0,100,North Indian,0,0,0,0,0
6991,Hadapsar,Delivery,0,0.0,0,"North Indian, Beverages",0,0,0,0,0
6992,Shivaji Nagar,"Takeaway, Delivery",0,0.0,0,"Chinese, Biryani, North Indian",0,0,0,0,0
6993,Hinjawadi,Quick Bites,0,0.0,300,North Indian,0,0,0,0,0
6994,Kothrud,Quick Bites,0,0.0,250,Fast Food,0,0,0,0,0
6995,KP and Kalyani,Delivery,0,0.0,0,"South Indian, North Indian, Fast Food, Desserts",0,0,0,0,0
6996,Viman Nagar,Bakery,0,0.0,150,Bakery,0,0,0,0,0
6997,Camp Area,Quick Bites,0,0.0,300,"Sandwich, Pizza, Fast Food, North Indian",0,0,0,0,0
6998,Sinhgad Road,"Takeaway, Delivery",0,0.0,0,North Indian,0,0,0,0,0
6999,Senapati Bapat Road,Food Court,0,0.0,650,"Fast Food, Mughlai, North Indian",0,0,0,0,0
7000,Shaniwar Peth,Quick Bites,0,0.0,150,"Sandwich, Fast Food, Beverages",0,0,0,0,0
7001,Wagholi,Quick Bites,0,0.0,350,North Indian,0,0,0,0,0
7002,Sinhgad Road,"Takeaway, Delivery",0,0.0,0,Chinese,0,0,0,0,0
7003,Kothrud,Bakery,0,0.0,400,"Bakery, Desserts",0,0,0,0,0
7004,Wakad,Quick Bites,0,0.0,250,Mughlai,0,0,0,0,0
7005,Pimpri Chinchwad Area,Delivery,0,0.0,0,"North Indian, Biryani",0,0,0,0,0
7006,Dhankawadi,Delivery,0,0.0,0,Maharashtrian,0,1,0,0,0
7007,Pimple Saudagar,Quick Bites,0,0.0,150,Street Food,0,1,0,0,0
7008,Kharadi,Quick Bites,0,0.0,200,"Biryani, Kebab",0,0,0,0,0
7009,Shaniwar Peth,Bakery,0,0.0,200,Bakery,0,0,0,0,0
7010,Pimple Nilakh,Quick Bites,0,0.0,300,Chinese,0,0,0,0,0
7011,Hinjawadi,"Takeaway, Delivery",0,0.0,0,North Indian,0,0,0,0,0
7012,Chinchwad,Quick Bites,0,0.0,300,Chinese,0,0,0,0,0
7013,Sinhgad Road,"Takeaway, Delivery",0,0.0,0,Chinese,0,0,0,0,0
7014,Shivaji Nagar,"Takeaway, Delivery",0,0.0,0,North Indian,0,0,0,0,0
7015,Hinjawadi,Quick Bites,0,0.0,500,"North Indian, Chinese",0,0,0,0,0
7016,Hinjawadi,Quick Bites,0,0.0,200,Biryani,0,0,0,0,0
7017,Pimpri Chinchwad Area,Delivery,0,0.0,0,"Chinese, North Indian",0,0,0,0,0
7018,Kharadi,Delivery,0,0.0,0,"Fast Food, Sandwich",0,0,0,0,0
7019,Viman Nagar,Delivery,0,0.0,0,Momos,0,0,0,0,0
7020,Kothrud,Quick Bites,0,0.0,300,"Momos, Fast Food",0,0,0,0,0
7021,Dhankawadi,Delivery,0,0.0,0,"Maharashtrian, North Indian",0,0,0,0,0
7022,Dehu Road,"Takeaway, Delivery",0,0.0,0,Maharashtrian,0,0,0,0,0
