,Locality,Sponsored,Number of votes,Ratings_out_of_5,Charges_for_two,Cuisines,Wine and Beer,Vegetarian Only,Vegan Options,Sugar Free Options,Buffet
2251,Fatima Nagar,Casual Dining,133,3.8,550,"North Indian, Chinese, Fast Food",0,1,0,0,0
2252,Shivaji Nagar,Quick Bites,233,3.5,550,"North Indian, South Indian, Chinese, Fast Food",0,1,0,0,0
2253,Shivaji Nagar,"Casual Dining, Bar",127,3.6,800,"North Indian, Chinese",0,0,0,0,0
2254,Kalyani Nagar,Sweet Shop,106,3.6,350,"Mithai, Street Food",0,1,0,0,0
2255,SB Road - Aundh,Dessert Parlor,160,4.0,400,"Ice Cream, Desserts",0,1,0,0,0
2256,Ravet,Casual Dining,213,3.9,600,"Chinese, North Indian, Maharashtrian, Fast Food",0,1,0,0,0
2257,Hadapsar,Quick Bites,0,0.0,400,"North Indian, Chinese",0,0,0,0,0
2258,Wanowrie Kondhwa Area,Delivery,0,0.0,0,Biryani,0,0,0,0,0
2259,Lohegaon,Quick Bites,0,0.0,200,"North Indian, Street Food",0,0,0,0,0
2260,Kondhwa,Casual Dining,130,3.9,500,"North Indian, Maharashtrian",0,1,0,0,0
2261,Law College Road,Quick Bites,50,3.7,500,"Fast Food, Rolls, Beverages",0,0,0,0,0
2262,Lohegaon,Quick Bites,10,3.2,500,"North Indian, Mughlai, Biryani",0,0,0,0,0
2263,Viman Nagar,Bakery,139,4.0,400,Bakery,0,0,0,0,0
2264,Camp Area,"Takeaway, Delivery",73,3.8,0,"Biryani, North Indian",0,0,0,0,0
2265,Baner,Café,0,0.0,150,Cafe,0,0,0,0,0
2266,Hinjawadi,Casual Dining,376,4.0,800,"Pizza, Italian, European, Beverages, Salad",0,0,0,0,0
2267,Old Mumbai-Pune Highway,Casual Dining,8,3.1,500,"North Indian, Maharashtrian, Chinese",0,0,0,0,0
2268,Salunkhe Vihar Road,Dessert Parlor,114,3.9,150,Desserts,0,1,0,0,0
2269,Kalyani Nagar,"Bar, Casual Dining",155,3.9,1500,"European, North Indian, Burger, Mediterranean",0,0,0,0,0
2270,Bund Garden Road,Casual Dining,38,4.2,1800,"Chinese, Thai, Mongolian",0,0,0,0,0
2271,Balewadi,Casual Dining,505,3.9,1500,"North Indian, Chinese, Continental, Italian, Salad",0,0,0,0,1
2272,Karve Nagar,Casual Dining,383,4.1,500,"Street Food, North Indian, Chinese, Beverages",0,1,0,0,0
2273,Sinhgad Road,Casual Dining,56,3.6,400,Maharashtrian,0,0,0,0,0
2274,Viman Nagar,Quick Bites,120,3.9,600,"Chinese, Beverages",0,0,0,0,0
2275,Erandwane,Paan Shop,24,3.8,100,Paan,0,1,0,0,0
2276,Tilak Road,Quick Bites,177,3.9,400,"North Indian, Street Food",0,1,0,0,0
2277,Katraj,Quick Bites,170,3.7,500,"Fast Food, North Indian",0,0,0,0,0
2278,JM Road,Casual Dining,94,3.5,400,"North Indian, South Indian, Chinese",0,1,0,0,0
2279,MG Road,Dessert Parlor,123,4.1,200,"Desserts, Bakery, Fast Food",0,0,0,0,0
2280,Rasta Peth,Quick Bites,175,4.2,100,Street Food,0,1,0,0,0
2281,Aundh,Casual Dining,203,3.6,600,"North Indian, Chinese, Italian, Continental",0,1,0,0,1
2282,Chinchwad,Casual Dining,152,3.7,700,Maharashtrian,0,0,0,0,0
2283,Hadapsar,Delivery,28,3.5,0,North Indian,0,0,0,0,0
2284,Aundh,"Beverage Shop, Quick Bites",368,4.0,400,"Beverages, Fast Food, North Indian",0,0,0,0,0
2285,Wakad,Quick Bites,657,3.8,300,"Burger, Fast Food",0,0,0,0,0
2286,Viman Nagar,Casual Dining,68,3.6,1000,North Indian,0,0,0,0,0
2287,FC Road,Dessert Parlor,286,4.1,250,"Ice Cream, Desserts",0,1,0,0,0
2288,Kondhwa,Quick Bites,10,3.3,500,"North Indian, Rolls, Fast Food",0,0,0,0,0
2289,Karve Nagar,Quick Bites,31,3.5,300,"North Indian, Maharashtrian",0,0,0,0,0
2290,Kothrud,"Bar, Casual Dining",26,3.7,1600,"Chinese, North Indian",0,0,0,0,0
2291,Lohegaon,Quick Bites,0,0.0,350,"North Indian, South Indian, Street Food, Chinese",0,0,0,0,0
2292,Baner,Quick Bites,0,0.0,200,"Sandwich, Fast Food",0,0,0,0,0
2293,Wakad,Delivery,0,0.0,0,"Burger, Fast Food, Beverages",0,0,0,0,0
2294,Hadapsar,Quick Bites,0,0.0,350,Maharashtrian,0,0,0,0,0
2295,Pashan,Delivery,0,0.0,0,"Mughlai, North Indian, Bengali",0,0,0,0,0
2296,Kondhwa,Quick Bites,0,0.0,350,"Fast Food, Beverages",0,0,0,0,0
2297,Chinchwad,Quick Bites,0,0.0,250,Biryani,0,0,0,0,0
2298,Ravet,Quick Bites,14,3.3,500,"Maharashtrian, North Indian, Mughlai",0,0,0,0,0
2299,Katraj,Quick Bites,99,3.5,200,Chinese,0,0,0,0,0
2300,Dhankawadi,Quick Bites,36,3.8,300,"Fast Food, Beverages",0,0,0,0,0
2301,Baner,Quick Bites,8,3.2,300,"Burger, Fast Food",0,0,0,0,0
2302,Sadashiv Peth,Quick Bites,16,3.3,250,Fast Food,0,0,0,0,0
2303,Aundh,Quick Bites,9,3.5,400,"Fast Food, Beverages",0,1,0,0,0
2304,Viman Nagar,Delivery,19,3.5,0,Chinese,0,0,0,0,0
2305,Bhosari,"Casual Dining, Bar",38,2.6,750,"North Indian, Chinese, Continental, Maharashtrian",0,0,0,0,0
2306,Kondhwa,Quick Bites,0,0.0,500,"Chinese, Cantonese",0,0,0,0,0
2307,Lohegaon,Casual Dining,29,3.5,600,"North Indian, Maharashtrian",0,0,0,0,0
2308,Baner,Quick Bites,86,3.5,250,"North Indian, Fast Food",0,0,0,0,0
2309,Katraj,Quick Bites,72,3.5,350,"North Indian, Chinese",0,0,0,0,0
2310,Hadapsar,"Casual Dining, Bar",21,3.4,650,"North Indian, Chinese, Seafood",0,0,0,0,0
2311,Hinjawadi,Quick Bites,26,3.5,400,"North Indian, Hyderabadi",0,0,0,0,0
2312,Katraj,"Dessert Parlor, Beverage Shop",12,3.4,300,"Desserts, Beverages",0,0,0,0,0
2313,Warje,Casual Dining,14,3.4,800,"North Indian, South Indian, Chinese, Fast Food",0,1,0,0,0
2314,Sinhgad Road,Quick Bites,4,3.1,300,"North Indian, Street Food",0,0,0,0,0
2315,Wagholi,Takeaway,0,0.0,0,Street Food,0,1,0,0,0
2316,Wagholi,"Takeaway, Delivery",0,0.0,0,"North Indian, Chinese",0,0,0,0,0
2317,Chinchwad,"Takeaway, Delivery",13,3.3,0,"Biryani, North Indian",0,0,0,0,0
2318,Kondhwa,Casual Dining,10,3.3,800,"North Indian, Chinese, Fast Food",0,0,0,0,0
2319,Sinhgad Road,Quick Bites,27,3.0,500,"North Indian, Maharashtrian, Chinese, Fast Food",0,1,0,0,0
2320,Deccan & Peths,Delivery,12,3.5,0,North Indian,0,0,0,0,0
2321,Kondhwa,Quick Bites,22,3.3,500,"North Indian, Chinese",0,0,0,0,0
2322,Bhugaon,Casual Dining,34,3.6,800,"Chinese, Continental, North Indian, Italian, Desserts, Pizza",0,0,0,0,0
2323,Viman Nagar,"Takeaway, Delivery",18,3.4,0,"North Indian, Chinese",0,0,0,0,0
2324,Hinjawadi,Casual Dining,227,3.6,1200,"Mughlai, North Indian",0,0,0,0,1
2325,Koregaon Park,Café,122,3.9,650,"Cafe, Sandwich",0,0,0,0,0
2326,Baner,Delivery,88,3.6,0,"North Indian, Biryani, Mughlai, Kebab",0,0,0,0,0
2327,Katraj,Quick Bites,182,3.7,300,"Fast Food, North Indian",0,0,0,0,0
2328,Sinhgad Road,Sweet Shop,40,3.7,400,"Mithai, Street Food",0,0,0,0,0
2329,Sinhgad Road,Quick Bites,137,4.1,200,Street Food,0,0,0,0,0
2330,Nigdi,Quick Bites,27,3.7,250,"Fast Food, Street Food, Burger, Sandwich, Pizza",0,0,0,0,0
2331,Kondhwa,Quick Bites,28,3.8,200,"Coffee, Fast Food, Beverages",0,0,0,0,0
2332,Swargate,Quick Bites,68,3.6,400,"North Indian, Chinese",0,1,0,0,0
2333,Wakad,Casual Dining,187,3.8,650,"North Indian, Chinese, Fast Food, Desserts",0,1,0,0,0
2334,Baner,Casual Dining,442,3.6,1600,"North Indian, Italian, Mexican, Street Food",0,1,0,0,0
2335,Chinchwad,Quick Bites,30,3.5,450,"Italian, Fast Food, Sandwich",0,0,0,0,0
2336,Akurdi,"Café, Dessert Parlor",21,3.3,200,"Cafe, Desserts",0,1,0,0,0
2337,Senapati Bapat Road,"Dessert Parlor, Café",86,3.9,750,"Desserts, Cafe, Bakery, Fast Food",0,0,0,0,0
2338,Hinjawadi,Food Court,95,3.5,400,"Chinese, North Indian, Rolls",0,0,0,0,0
2339,Kothrud,Casual Dining,86,3.7,300,North Indian,0,0,0,0,0
2340,Dhankawadi,Quick Bites,130,3.8,300,"Biryani, North Indian, Chinese",0,0,0,0,0
2341,Viman Nagar,Food Court,66,3.8,350,"South Indian, Beverages",0,1,0,0,0
2342,Wagholi,Quick Bites,72,3.6,400,Fast Food,0,0,0,0,0
2343,Camp Area,Quick Bites,104,3.4,300,"Fast Food, Lebanese",0,0,0,0,0
2344,Kothrud,Quick Bites,247,3.7,350,"Fast Food, North Indian",0,0,0,0,0
2345,Nigdi,Quick Bites,73,3.6,150,Street Food,0,1,0,0,0
2346,Nigdi,Quick Bites,129,3.5,600,"Bengali, Chinese, Mughlai",0,0,0,0,0
2347,Wanowrie,Quick Bites,41,3.5,500,"North Indian, Chinese, Fast Food",0,0,0,0,0
2348,Hadapsar,Quick Bites,398,3.8,200,North Indian,0,1,0,0,0
2349,Kharadi,Quick Bites,420,3.5,200,"South Indian, Chinese",0,1,0,0,0
2350,Hinjawadi,"Casual Dining, Bar",97,3.6,1200,"North Indian, Chinese",0,0,0,0,0
2351,Hinjawadi,Quick Bites,50,3.0,200,Street Food,0,1,0,0,0
2352,Lohegaon,Quick Bites,118,3.3,400,"North Indian, Chinese",0,0,0,0,0
2353,Vishrantwadi,Quick Bites,83,3.4,400,"North Indian, Chinese, Mughlai, Hyderabadi",0,0,0,0,0
2354,Chandan Nagar,Casual Dining,32,3.4,600,"Chinese, North Indian, Fast Food, Ice Cream",0,1,0,0,0
2355,Mulshi Road,Casual Dining,45,3.4,750,"North Indian, Chinese, Seafood",0,0,0,0,0
2356,Viman Nagar,Casual Dining,43,3.8,600,Continental,0,0,0,0,0
2357,Kondhwa,Casual Dining,664,3.9,650,Chinese,0,0,0,0,0
2358,Karve Nagar,Casual Dining,200,3.7,700,"Maharashtrian, North Indian",0,0,0,0,0
2359,Camp Area,Quick Bites,37,3.5,200,Fast Food,0,0,0,0,0
2360,Pimpri,"Casual Dining, Bar",387,3.8,800,"North Indian, Mughlai, Chinese, Seafood",0,0,0,0,0
2361,Model Colony,Quick Bites,94,2.0,400,"North Indian, Chinese",0,0,0,0,0
2362,Baner,Casual Dining,360,3.6,600,"North Indian, Chinese, Seafood",0,0,0,0,0
2363,FC Road,Casual Dining,451,3.9,700,"Maharashtrian, North Indian, Chinese",0,1,0,0,1
2364,Bavdhan,Quick Bites,393,3.0,500,"South Indian, North Indian, Fast Food, Chinese",0,0,0,0,0
2365,Ravet,Quick Bites,202,3.4,400,"Chinese, North Indian",0,0,0,0,0
2366,Tilak Road,Casual Dining,259,3.7,700,"North Indian, Continental, Chinese, Juices",0,1,0,0,0
2367,Sinhgad Road,Quick Bites,112,3.3,300,Chinese,0,0,0,0,0
2368,Kondhwa,Delivery,0,0.0,0,Biryani,0,0,0,0,0
2369,Bavdhan,Quick Bites,0,0.0,300,Thai,0,0,0,0,0
2370,Pimpri,"Bar, Casual Dining",391,3.9,1400,"Bar Food, North Indian, Chinese, Goan",0,0,0,0,0
2371,Kothrud,Quick Bites,278,3.8,350,"Fast Food, North Indian, Beverages",0,1,0,0,0
2372,Mundhwa,Casual Dining,62,3.4,800,"North Indian, Lebanese",0,0,0,0,0
2373,Dhankawadi,Casual Dining,539,3.7,650,"South Indian, North Indian, Chinese, Fast Food",0,1,0,0,0
2374,Kothrud,"Takeaway, Delivery",27,4.0,0,Maharashtrian,0,0,0,0,0
2375,Pimple Saudagar,Casual Dining,318,3.1,450,"North Indian, South Indian, Fast Food",0,1,0,0,0
2376,Wakad,"Takeaway, Delivery",79,3.7,0,"Healthy Food, Sandwich, Beverages",0,1,1,0,0
2377,Bavdhan,"Casual Dining, Bar",16,2.9,1000,"North Indian, Chinese",0,0,0,0,0
2378,Viman Nagar,Quick Bites,93,3.9,900,"Continental, Italian",0,0,0,0,0
2379,Hadapsar,Quick Bites,26,3.4,500,"North Indian, Chinese, Malwani",0,0,0,0,0
2380,Pimpri,Quick Bites,63,3.8,400,"Maharashtrian, North Indian",0,1,0,0,0
2381,Hadapsar,Casual Dining,73,3.5,500,"North Indian, Chinese, Kebab",0,0,0,0,0
2382,Baner,Casual Dining,325,3.8,1000,"North Indian, Chinese, Continental",0,1,0,0,0
2383,Kharadi,Casual Dining,149,3.4,650,"North Indian, Maharashtrian",0,0,0,0,0
2384,Hadapsar,Casual Dining,236,3.9,300,North Indian,0,1,0,0,0
2385,Hadapsar,"Takeaway, Delivery",0,0.0,0,Momos,0,0,0,0,0
2386,Bibvewadi,Quick Bites,0,0.0,250,"Pizza, Sandwich, Beverages, Desserts",0,0,0,0,0
2387,Baner,Quick Bites,299,3.4,400,"North Indian, Street Food",0,0,0,0,0
2388,Kharadi,Quick Bites,64,3.4,500,"North Indian, Chinese",0,1,0,0,0
2389,Dange Chowk,Quick Bites,49,3.5,400,"North Indian, Chinese",0,0,0,0,0
2390,Dange Chowk,Casual Dining,202,3.6,1000,"Continental, Maharashtrian, North Indian",0,1,0,0,0
2391,Kothrud,Quick Bites,35,3.5,450,"Maharashtrian, North Indian",0,0,0,0,0
2392,Katraj,Quick Bites,224,3.5,200,North Indian,0,1,0,0,0
2393,Pimpri,Café,6,3.2,500,"Cafe, Fast Food",0,1,0,0,0
2394,Camp Area,Delivery,19,3.4,0,Biryani,0,0,0,0,0
2395,Dhanori,Casual Dining,118,2.9,600,"North Indian, Chinese, Seafood",0,0,0,0,0
2396,Satara Road,Casual Dining,142,3.7,750,"North Indian, Chinese, Fast Food",0,1,0,0,0
2397,Baner,Quick Bites,82,3.7,200,North Indian,0,0,0,0,0
2398,Wakad,Bakery,501,4.4,450,Bakery,0,0,0,0,0
2399,Erandwane,Café,124,3.7,400,Cafe,0,0,0,0,0
2400,Pimpri,Quick Bites,78,3.4,350,"North Indian, Fast Food",0,0,0,0,0
2401,Hadapsar,Casual Dining,236,3.9,300,North Indian,0,1,0,0,0
2402,Sinhgad Road,Quick Bites,28,3.7,500,"Healthy Food, North Indian",0,0,0,0,0
2403,MG Road,Quick Bites,83,3.7,400,"Chinese, North Indian, Mughlai",0,0,0,0,0
2404,Katraj,"Takeaway, Delivery",0,0.0,0,"Chinese, Momos",0,0,0,0,0
2405,KP and Kalyani,Delivery,18,4.0,0,"Asian, Chinese, Thai",0,0,0,0,0
2406,Wakad,Quick Bites,0,0.0,250,"Burger, Sandwich, Fast Food",0,0,0,0,0
2407,Viman Nagar,Delivery,0,0.0,0,"North Indian, Chinese",0,0,0,0,0
2408,Mulshi Road,Quick Bites,0,0.0,150,South Indian,0,1,0,0,0
2409,Wagholi,Quick Bites,0,0.0,500,"South Indian, North Indian, Chinese, Beverages",0,0,0,0,0
2410,Kothrud Area,Delivery,0,0.0,0,"Biryani, North Indian",0,0,0,0,0
2411,Balewadi,"Takeaway, Delivery",0,0.0,0,"Fast Food, South Indian, Beverages",0,0,0,0,0
2412,Chinchwad,Quick Bites,0,0.0,250,Maharashtrian,0,0,0,0,0
2413,Ravet,Delivery,0,0.0,0,"North Indian, Kebab",0,0,0,0,0
2414,Hinjawadi,Quick Bites,0,0.0,300,Street Food,0,0,0,0,0
2415,Koregaon Park,Quick Bites,0,0.0,500,"Fast Food, Italian, Beverages",0,0,0,0,0
2416,Wakad,Quick Bites,24,3.7,250,North Indian,0,1,0,0,0
2417,Chinchwad,"Takeaway, Delivery",36,3.6,0,Chinese,0,0,0,0,0
2418,Pimple Saudagar,Bakery,5,3.2,500,"Bakery, Fast Food",0,0,0,0,0
2419,Nigdi,Café,89,3.6,500,"Cafe, Fast Food, Continental, Italian",0,0,0,0,0
2420,Wakad,"Takeaway, Delivery",0,0.0,0,"Chinese, North Indian, Maharashtrian",0,0,0,0,0
2421,NIBM Road,Quick Bites,6,3.3,600,"Fast Food, North Eastern, Healthy Food, Beverages",0,0,0,0,0
2422,Kharadi,Quick Bites,7,3.2,150,"South Indian, Street Food",0,0,0,0,0
2423,Pimple Saudagar,Quick Bites,40,3.7,300,"North Indian, Fast Food",0,0,0,0,0
2424,Katraj,Quick Bites,39,3.6,200,"Biryani, Fast Food",0,0,0,0,0
2425,Chinchwad,Café,11,3.3,300,"Cafe, Coffee",0,1,0,0,0
2426,Kothrud Area,Food Truck,18,3.4,200,Fast Food,0,0,0,0,0
2427,Sinhgad Road,Quick Bites,91,3.6,400,"Biryani, North Indian",0,0,0,0,0
2428,Viman Nagar,Delivery,46,3.5,0,Kerala,0,0,0,0,0
2429,Kalyani Nagar,Casual Dining,30,3.7,800,"Chinese, Asian, South Indian",0,0,0,0,0
2430,Viman Nagar,Café,96,4.0,900,Cafe,0,0,0,0,0
2431,Baner,Quick Bites,15,3.4,200,Rajasthani,0,0,0,0,0
2432,Kharadi,Lounge,28,3.8,1600,"Finger Food, North Indian, Chinese, Malwani",0,0,0,0,0
2433,Sadashiv Peth,Food Court,5,3.4,200,"Fast Food, South Indian, Street Food",0,1,0,0,0
2434,Kothrud,Casual Dining,9,3.2,500,"North Indian, Rajasthani",0,0,0,0,0
2435,Balewadi,Quick Bites,19,3.5,250,North Indian,0,0,0,0,0
2436,NIBM Road,Quick Bites,0,0.0,400,"Fast Food, Sandwich, Beverages",0,0,0,0,0
2437,Karve Nagar,Quick Bites,0,0.0,150,Momos,0,0,0,0,0
2438,Lonavala,Quick Bites,14,3.6,400,Fast Food,0,0,0,0,0
2439,Parvati,Quick Bites,8,3.3,250,"Fast Food, Coffee",0,0,0,0,0
2440,Chinchwad,Casual Dining,25,3.8,1000,"North Indian, Chinese, Continental, Mughlai, Maharashtrian",0,0,0,0,0
2441,Pimple Gurav,Quick Bites,25,3.5,150,Street Food,0,1,0,0,0
2442,Mundhwa,Casual Dining,5,3.0,500,"North Indian, Chinese",0,0,0,0,0
2443,Magarpatta,Quick Bites,76,3.9,200,Fast Food,0,0,0,0,0
2444,Hadapsar,Mess,92,3.7,250,Gujarati,0,1,0,0,0
2445,NIBM Road,Casual Dining,32,3.4,800,"North Indian, Chinese, Seafood",0,0,0,0,0
2446,Magarpatta,"Takeaway, Delivery",69,3.7,0,"Continental, Healthy Food, Juices, Salad",0,0,0,0,0
2447,Hadapsar,Quick Bites,64,3.4,500,North Indian,0,0,0,0,0
2448,Wakad,"Takeaway, Delivery",137,3.7,0,"North Indian, Chinese",0,0,0,0,0
2449,Kothrud,Quick Bites,86,3.5,750,"Maharashtrian, North Indian",0,0,0,0,0
2450,Dhankawadi,Dessert Parlor,86,4.1,300,"Bakery, Desserts",0,1,0,0,0
2451,Warje,Casual Dining,14,3.0,450,"Maharashtrian, North Indian",0,0,0,0,0
2452,Rasta Peth,Quick Bites,42,3.8,100,South Indian,0,1,0,0,0
2453,Chinchwad,"Casual Dining, Bar",374,3.4,1000,"North Indian, Chinese",0,0,0,0,1
2454,Bavdhan,Casual Dining,108,3.7,450,"North Indian, Chinese, South Indian",0,1,0,0,0
2455,Pimple Saudagar,Casual Dining,660,4.0,600,"North Indian, Chinese, Kerala",0,0,0,0,0
2456,NIBM Road,"Takeaway, Delivery",39,3.5,0,"North Indian, Continental, Chinese",0,0,0,0,0
2457,Hadapsar,Quick Bites,74,3.6,300,"Rolls, Fast Food, Chinese, North Indian",0,0,0,0,0
2458,Pimpri,Café,55,3.8,800,"Cafe, North Indian, South Indian, European",0,0,0,0,1
2459,Satara Road,Dessert Parlor,106,3.4,250,"Ice Cream, Beverages",0,1,0,0,0
2460,Kondhwa,"Bar, Casual Dining",557,3.8,1000,"Finger Food, Continental, American",0,0,0,0,0
2461,Chinchwad,Casual Dining,38,3.3,500,"North Indian, Chinese, Mughlai",0,0,0,0,0
2462,NIBM Road,Casual Dining,117,2.8,700,"North Indian, Chinese",0,0,0,0,0
2463,Nigdi,Casual Dining,183,3.5,650,"North Indian, Chinese, Mangalorean, Mughlai, Seafood",0,0,0,0,0
2464,Pashan,Casual Dining,409,3.8,500,"North Indian, Chinese, Mughlai",0,0,0,0,0
2465,Koregaon Park,Quick Bites,197,3.5,300,"South Indian, Fast Food, Chinese",0,0,0,0,0
2466,Bibvewadi,Casual Dining,237,3.7,600,"South Indian, North Indian, Fast Food, Street Food, Chinese, Beverages, Ice Cream",0,1,0,0,0
2467,Narhe,Casual Dining,30,3.4,800,"North Indian, Chinese",0,0,0,0,0
2468,Magarpatta,Casual Dining,511,3.6,800,"North Indian, Chinese",0,0,0,0,0
2469,Budhwar Peth,Quick Bites,3,2.9,200,"Desserts, Street Food",0,1,0,0,0
2470,Viman Nagar,"Takeaway, Delivery",21,2.6,0,"Burger, Fast Food, Biryani",0,0,0,0,0
2471,East Street,Casual Dining,157,3.5,800,"North Indian, South Indian, Chinese, Street Food",0,1,0,0,0
2472,Narhe,Quick Bites,21,3.3,350,Maharashtrian,0,0,0,0,0
2473,Pimple Saudagar,Quick Bites,124,3.9,300,North Indian,0,0,0,0,0
2474,Viman Nagar,Casual Dining,66,2.9,700,"Chinese, North Indian, Seafood",0,0,0,0,0
2475,Kondhwa,Quick Bites,49,2.9,200,"Street Food, Fast Food",0,0,0,0,0
2476,Chinchwad,Casual Dining,63,3.4,450,"North Indian, Chinese, Maharashtrian",0,0,0,0,0
2477,Sadashiv Peth,Café,9,3.3,300,"Beverages, Fast Food",0,0,0,0,0
2478,Pimple Saudagar,Café,152,3.7,300,Cafe,0,0,0,0,0
2479,KP and Kalyani,Delivery,463,4.2,0,"Pizza, Panini, Burger, Fast Food, Healthy Food",0,0,0,0,0
2480,JM Road,"Casual Dining, Bar",335,4.0,1100,"Asian, Modern Indian, North Indian, Kebab, Seafood, Afghan",0,0,0,0,1
2481,Lonavala,Casual Dining,85,3.6,1100,North Indian,0,1,1,0,0
2482,Hinjawadi,"Bar, Casual Dining",0,0.0,1300,"North Indian, Chinese, Mughlai",0,0,0,0,0
2483,FC Road,Bakery,49,3.7,300,Bakery,0,0,0,0,0
2484,Bavdhan,Casual Dining,219,3.9,1200,"Chinese, North Indian, Continental",0,0,0,0,0
2485,Pimpri,Casual Dining,134,3.4,700,"Chinese, North Indian, Malwani",0,0,0,0,0
2486,JM Road,Bakery,76,3.6,350,"Bakery, Desserts, Fast Food",0,0,0,0,0
2487,Kharadi,Casual Dining,46,3.5,400,"North Indian, Fast Food",0,0,0,0,0
2488,Salunkhe Vihar Road,Quick Bites,170,3.7,500,"Biryani, Momos, Fast Food",0,0,0,0,0
2489,Pimpri,Dessert Parlor,40,3.7,300,Desserts,0,0,0,0,0
2490,Bibvewadi,Quick Bites,144,4.1,500,"North Indian, Seafood, Chinese",0,0,0,0,0
2491,Dhankawadi,"Takeaway, Delivery",19,3.4,0,"Burger, Fast Food, Beverages",0,0,0,0,0
2492,Nigdi,Casual Dining,215,3.9,600,"South Indian, North Indian, Chinese, Fast Food, Street Food, Beverages",0,1,0,0,0
2493,Kondhwa,"Bar, Casual Dining",398,3.6,1600,"North Indian, Mughlai, Chinese",0,0,0,0,0
2494,Rasta Peth,Sweet Shop,70,3.8,200,Mithai,0,1,0,0,0
2495,Wakad,Quick Bites,21,3.3,100,Street Food,0,1,0,0,0
2496,Sinhgad Road,Quick Bites,8,3.3,500,"Maharashtrian, Malwani",0,0,0,0,0
2497,Lohegaon,Casual Dining,11,3.4,900,"North Indian, Chinese",0,0,0,0,0
2498,Hadapsar,"Takeaway, Delivery",19,3.5,0,Fast Food,0,0,0,0,0
2499,"Magarpatta, Pune Sholapur Rd",Delivery,17,3.4,0,"Burger, Fast Food",0,0,0,0,0
2500,Pimple Saudagar,Dhaba,12,3.3,200,North Indian,0,1,0,0,0
2501,Bund Garden Road,Bakery,150,4.3,1000,"Bakery, Fast Food, Desserts",0,0,0,0,0
2502,Pimple Saudagar,Quick Bites,516,4.1,600,"Pizza, Italian",0,0,0,0,0
2503,Wakad,Quick Bites,315,4.0,300,"Fast Food, Beverages",0,1,0,0,0
2504,Sadashiv Peth,Quick Bites,88,3.7,500,"Maharashtrian, North Indian",0,0,0,0,0
2505,Viman Nagar,Quick Bites,157,3.7,400,"North Indian, Mughlai, Rolls",0,0,0,0,0
2506,Hadapsar,"Café, Bakery",418,3.9,800,"Cafe, Fast Food, Desserts",0,0,0,0,1
2507,Magarpatta,Quick Bites,31,3.3,450,"North Indian, Chinese",0,0,0,0,0
2508,Pimple Nilakh,Takeaway,0,0.0,0,"Fast Food, North Indian",0,0,0,0,0
2509,Katraj,Quick Bites,6,3.1,600,"North Indian, Chinese, Mangalorean, Hyderabadi, Biryani",0,0,0,0,0
2510,Kothrud,Quick Bites,5,3.1,200,South Indian,0,1,0,0,0
2511,Balewadi,Delivery,0,0.0,0,North Indian,0,1,0,0,0
2512,SB Road - Aundh,Delivery,0,0.0,0,"Biryani, North Indian, Desserts",0,0,0,0,0
2513,Camp Area,Quick Bites,0,0.0,200,"North Indian, Mughlai",0,0,0,0,0
2514,Wakad,Quick Bites,10,3.3,300,"Fast Food, Sandwich, Rolls",0,1,0,0,0
2515,Sadashiv Peth,Quick Bites,7,3.1,300,"North Indian, Chinese",0,1,0,0,0
2516,Wakad,Quick Bites,0,0.0,150,Fast Food,0,0,0,0,0
2517,Katraj,Quick Bites,0,0.0,300,"Fast Food, Street Food, Chinese, South Indian",0,0,0,0,0
2518,Pimple Gurav,Quick Bites,108,3.8,350,"North Indian, Chinese",0,0,0,0,0
2519,Dhanori,Quick Bites,27,2.8,350,"Fast Food, Pizza",0,0,0,0,0
2520,Chinchwad,Casual Dining,42,3.6,800,"North Indian, Chinese, Italian, Maharashtrian, Continental",0,1,0,0,0
2521,Salunkhe Vihar Road,Quick Bites,101,3.8,400,"Pizza, Fast Food, Desserts",0,0,0,0,0
2522,Pashan,Quick Bites,0,0.0,250,North Indian,0,0,0,0,0
2523,Viman Nagar,Quick Bites,5,3.1,250,"Rolls, Fast Food",0,0,0,0,0
2524,Kharadi,Quick Bites,0,0.0,200,Burger,0,0,0,0,0
2525,Katraj,Quick Bites,11,3.2,300,Chinese,0,0,0,0,0
2526,Dhankawadi,Quick Bites,21,3.4,300,Maharashtrian,0,0,0,0,0
2527,Hinjawadi,Quick Bites,23,3.5,400,Chinese,0,0,0,0,0
2528,Wakad,"Takeaway, Delivery",21,3.4,0,Healthy Food,0,0,0,0,0
2529,Kothrud,Quick Bites,0,0.0,200,"Maharashtrian, North Indian",0,1,0,0,0
2530,Wagholi,Quick Bites,32,3.7,600,"North Indian, Chinese",0,0,0,0,0
2531,Karve Nagar,Quick Bites,5,3.0,300,Chinese,0,0,0,0,0
2532,Kothrud,"Takeaway, Delivery",0,0.0,0,"Chinese, Rolls",0,0,0,0,0
2533,Sinhgad Road,Quick Bites,39,3.7,250,Fast Food,0,0,0,0,0
2534,Pimpri,Quick Bites,7,3.2,400,"Fast Food, Pizza, Beverages",0,1,0,0,0
2535,Dhanori,Quick Bites,4,3.2,200,Chinese,0,0,0,0,0
2536,Wakad,Casual Dining,45,3.8,600,"North Indian, Maharashtrian",0,0,0,0,0
2537,Kothrud,"Café, Bakery",85,3.9,400,"Cafe, Fast Food, Bakery",0,0,0,0,0
