index,rest_name
768,Badshahi Boarding House
769,Camios!
770,Sky Light
771,Mumma's Kitchen
772,Shreeji Ice cream
773,Epicure Cafe
774,Talli Twist
775,Aasing's Kitchen
776,Biryani Kingdom
777,Plunge - All Day Kitchen and Bar
778,Sunny Da Dhaba
779,Misal Darbar
780,Cinco
781,Rice Wise
782,Piazza
783,1989 Cafe
784,Siddhivinayak Hotel
785,New Arabian Grills
786,Ajmera Tea House
787,Gwalior Shahi
788,Tiffina
789,The Tipsy Duckling
790,24foods.in
791,Aware Maratha Khanawal
792,Amrita Pure Veg
793,Pride Kitchen Hyderabadi Biryani
794,Punjabi Amritsari Kulcha
795,360 Degree Multicuisine Family Restaurant
796,Dorje & The Bell
797,Wada By Hotel Gavran Tadka
798,Sweet Truth
799,Zaytun Restaurant & Cafe
800,Ms. Veggies
801,Meghdoot's
802,Mexican Maven
803,Malgudi Tiffin
804,Cheers - The Space Pub
805,Odisha Hotel
806,Santosh Bakery
807,Nina Pinta Santamaria
808,Faasos
809,Rasna Buzz
810,Homly Touch
811,Swad Fish House
812,Perfect Choice Snacks And Food Center
813,Royal Shawarma
814,eat.fit
815,Cafe Arabia
816,Cafe Pizza Bites
817,Rice Bowl Company
818,Amhi Puneri Khavaiye
819,Caribbean Cafe
820,The Lands End Cafe
821,Wafflin' Around
822,Annapurna Pure Veg
823,Recipe Non Veg
824,De Baillio
825,Gabbar Ching
826,Paramhans Pure Veg
827,Rajvansh
828,China Toss
829,Rolls Mania
830,Dakkhan Spice
831,Wagh Bakri Tea Lounge
832,Via Indore
833,Hotel Neha
834,Cafe Zam Zam
835,Ignite - Courtyard By Marriott Pune Hinjawadi
836,The Coal Shed
837,Sawai Veg
838,Eatsome
839,Hotel Gavthan Wada
840,Upside Down
841,RCK - The Lounge Bar
842,Koji - Conrad Pune
843,Corn Club
844,R K Biryani House
845,Shorba Family Restaurant
846,Waari Book Cafe
847,Christy Restaurant
848,Zaika Caterers & Restaurants
849,The Soundtrack Cafe
850,Kitchens Of India
851,Kiga Ice-Cream
852,Kwality Family Resto Bar
853,Sahyadri Misal Navi Peth
854,Cocoa Patisserie and Bakery
855,Garden Court
856,Swiss Bakes
857,Euriska
858,Frangipani - Ambrosia Resort and Spa
859,Tandoori Flames
860,Caramella's
861,The Long Bar
862,Taco Alfresco
863,Mughal Sarai
864,Reddy's Hyderabadi Biryani
865,Shawarmas
866,Raavsaab
867,Biryani Katta
868,BBQ Ride India
869,The Wadapav Cafe - Elite
870,Raaga Thali & Pure Veg Restaurant
871,Rajsthani Rasoi
872,Panchavati Gaurav
